,Unnamed: 0,fire_year,fire_number,fire_name,current_size,size_class,fire_location_latitude,fire_location_longitude,fire_start_date,wind_direction,wind_speed,Municipality
0,9788,2012,HWF053,,78.4,D,58.515333,-116.452483,41038.62153,N,40,Mackenzie County
1,9798,2012,HWF070,Wolverine Fire,1689,E,57.92135,-116.925533,41055.5625,S,25,Mackenzie County
2,9825,2012,HWF085,Jackpot Creek,748,E,59.766667,-117.088333,41059.75,SW,10,Mackenzie County
3,9826,2012,HWF086,,63.1,D,59.795333,-117.118667,41059.75,SW,10,Mackenzie County
4,9827,2012,HWF087,Lessard River,198.5,D,59.868667,-116.779667,41059.58333,S,15,Mackenzie County
5,9831,2012,HWF134,,26.2,C,58.0856,-115.943067,41098.66667,E,10,Mackenzie County
6,9835,2012,HWF167,,21.6,C,58.146061,-115.116178,41112.60417,NE,5,Mackenzie County
7,9843,2012,CWF006,,15.3,C,51.289267,-114.94315,41022.87847,N,15,Municipal District of Bighorn
8,9921,2012,MWF043,,12.8,C,57.788518,-112.753883,41100.5,W,5,Wood Buffalo
9,9926,2012,MWF055,,50,D,59.257967,-110.74175,41100.5,W,5,Wood Buffalo
10,9927,2012,MWF056,,8005,E,59.258667,-110.395333,41100.70833,N,20,Wood Buffalo
11,10019,2012,PWF054,,24.9,C,56.1277,-117.099167,41086.64583,SW,40,Northern Sunrise County
12,10039,2012,LWF059,Moose Lake Fire,757.7,E,54.342448,-110.958026,41042.71875,NW,10,Municipal District of Bonnyville
13,10069,2012,PWF032,,16.4,C,56.138433,-116.846067,41041.61806,W,25,Northern Sunrise County
14,10087,2012,HWF238,,11.8,C,58.4797,-115.168,41178.58333,SW,10,Mackenzie County
15,10163,2012,SWF056,,47.67,D,55.25655,-113.821917,41059.57639,W,5,Municipal District of Lesser Slave River
16,10166,2012,HWF107,Zama Complex,60702.9,E,59.3408,-119.653279,41081.64583,NW,17,Mackenzie County
17,10218,2012,HWF211,,12005.7,E,59.604683,-119.85805,41130.75,W,35,Mackenzie County
18,10231,2012,EWF012,,12.48,C,53.535445,-116.50988,41035.61806,NW,10,Yellowhead County
19,10234,2012,HWF137,,15,C,57.928917,-114.077583,41100.54167,SW,11,Mackenzie County
20,10235,2012,HWF138,Birch River Complex,27558,E,57.8936,-114.024467,41100.58333,W,11,Mackenzie County
21,10316,2013,WWF006,,14.1,C,54.355583,-115.161017,41400.625,W,5,Woodlands County
22,10368,2012,HWF120,Lutose Complex,3950,E,59.289867,-117.415633,41096.5625,NW,20,Mackenzie County
23,10395,2012,SWF013,,16.5,C,55.71013,-116.43352,41031.66667,SE,2,Big Lakes County
24,10398,2012,HWF102,,20.4,C,59.127687,-117.064153,41081.625,SW,10,Mackenzie County
25,10400,2012,HWF106,Zama Complex,134603,E,59.356333,-118.954594,41081.70833,NE,8,Mackenzie County
26,10402,2012,HWF131,,160,D,59.74245,-115.697933,41096.66667,SW,10,Mackenzie County
27,10433,2013,LWF002,,34,C,54.65215,-111.889117,41392.58333,E,10,Lac La Biche County
28,10456,2012,SWF079,,209,E,57.210833,-113.4605,41102.66667,NW,20,Municipal District of Opportunity
29,10470,2012,PWF033,Farmer Fire,235.84,E,56.463033,-118.948217,41041.91667,W,30,Clear Hills County
30,10471,2012,PWF035,,23.47,C,56.5336,-117.981767,41042.59028,W,30,County of Northern Lights
31,10493,2012,RWF019,Pembina,357,E,53.137597,-115.250265,41041.66667,W,20,Brazeau County
32,10518,2012,HWF159,Berry Creek,3103,E,59.1324,-114.195667,41100.875,NE,20,Mackenzie County
33,10519,2012,HWF160,Smith Creek,3852,E,59.306063,-114.0784,41100.875,NE,20,Mackenzie County
34,10527,2012,HWF179,Rock Lake,379.9,E,59.146217,-114.933717,41115.83333,NW,12,Mackenzie County
35,10536,2012,PWF174,Lennard Creek,951.6,E,57.46725,-119.95465,41129.6875,NW,15,County of Northern Lights
36,10567,2012,HWF163,,39.3,C,58.348433,-118.384533,41106.375,S,15,Mackenzie County
37,10581,2012,RWF018,,10.5,C,51.835833,-114.940367,41041.45139,S,5,Mountain View County
38,10583,2012,HWF108,Petitot River,4269,E,59.895517,-118.760133,41082.66667,NE,5,Mackenzie County
39,10595,2012,HWF221,,155.4,D,59.828483,-116.136583,41140.83333,NE,10,Mackenzie County
40,10648,2012,HWF004,,14.3,C,58.491382,-115.136913,41017.66667,W,12,Mackenzie County
41,10675,2012,HWF125,Melvin River,1312,E,58.905,-116.468667,41096.64583,W,20,Mackenzie County
42,10688,2012,HWF118,,38.1,C,58.5505,-114.176133,41096.5,W,10,Mackenzie County
43,10691,2012,HWF129,,45.8,D,58.564433,-114.21365,41096.83333,W,5,Mackenzie County
44,10694,2012,MWF052,,15043,E,59.245883,-110.696367,41100.70833,N,20,Wood Buffalo
45,10695,2012,MWF053,,1287,E,59.2761,-110.530233,41100.5,W,6,Wood Buffalo
46,10696,2012,MWF054,,1135,E,59.303133,-110.770617,41100.5,W,5,Wood Buffalo
47,10728,2012,MWF004,,14,C,56.433833,-111.160217,41035.55556,NW,10,Wood Buffalo
48,10774,2012,MWF065,,22.9,C,57.490906,-113.510667,41102.58333,W,15,Wood Buffalo
