Municipality,Year,Key,Sum_firesize,Count_fires
Athabasca County,2012,Athabasca County2012,149898.15,11
Athabasca County,2013,Athabasca County2013,8984.3,1
Athabasca County,2014,Athabasca County2014,244.2,1
Athabasca County,2015,Athabasca County2015,57397.869999999995,3
Athabasca County,2016,Athabasca County2016,10.1,2
Athabasca County,2016,Athabasca County2016,43940.8,4
Athabasca County,2018,Athabasca County2018,0,0
Athabasca County,2019,Athabasca County2019,0,0
Athabasca County,2020,Athabasca County2020,0,0
Athabasca County,2021,Athabasca County2021,0,0
Athabasca County,2022,Athabasca County2022,0,0
Big Lakes County,2013,Big Lakes County2013,8984.3,1
Big Lakes County,2013,Big Lakes County2013,57397.869999999995,6
Big Lakes County,2014,Big Lakes County2014,149898.15,11
Big Lakes County,2015,Big Lakes County2015,264.4,3
Big Lakes County,2016,Big Lakes County2016,43940.8,4
Big Lakes County,2017,Big Lakes County2017,12.4,1
Big Lakes County,2018,Big Lakes County2018,0,0
Big Lakes County,2019,Big Lakes County2019,0,0
Big Lakes County,2020,Big Lakes County2020,0,0
Big Lakes County,2021,Big Lakes County2021,0,0
Big Lakes County,2022,Big Lakes County2022,0,0
Brazeau County,2012,Brazeau County2012,357,1
Brazeau County,2012,Brazeau County2012,43940.8,5
Brazeau County,2013,Brazeau County2013,14.7,3
Brazeau County,2013,Brazeau County2013,8984.3,1
Brazeau County,2014,Brazeau County2014,57397.869999999995,6
Brazeau County,2015,Brazeau County2015,149898.15,11
Brazeau County,2018,Brazeau County2018,0,0
Brazeau County,2019,Brazeau County2019,0,0
Brazeau County,2020,Brazeau County2020,0,0
Brazeau County,2021,Brazeau County2021,0,0
Brazeau County,2022,Brazeau County2022,0,0
Census Division No. 9,2013,Census Division No. 92013,21,3
Census Division No. 9,2013,Census Division No. 92013,43940.8,5
Census Division No. 9,2014,Census Division No. 92014,705.8,1
Census Division No. 9,2016,Census Division No. 92016,8984.3,1
Census Division No. 9,2016,Census Division No. 92016,57397.869999999995,6
Census Division No. 9,2017,Census Division No. 92017,149898.15,11
Census Division No. 9,2018,Census Division No. 92018,0,0
Census Division No. 9,2019,Census Division No. 92019,0,0
Census Division No. 9,2020,Census Division No. 92020,0,0
Census Division No. 9,2021,Census Division No. 92021,0,0
Census Division No. 9,2022,Census Division No. 92022,0,0
Clear Hills County,2012,Clear Hills County2012,224308.9,3
Clear Hills County,2014,Clear Hills County2014,43940.8,5
Clear Hills County,2015,Clear Hills County2015,705.8,5
Clear Hills County,2017,Clear Hills County2017,21.9,5
Clear Hills County,2017,Clear Hills County2017,8984.3,1
Clear Hills County,2017,Clear Hills County2017,57397.869999999995,6
Clear Hills County,2018,Clear Hills County2018,0,0
Clear Hills County,2019,Clear Hills County2019,0,0
Clear Hills County,2020,Clear Hills County2020,0,0
Clear Hills County,2021,Clear Hills County2021,0,0
Clear Hills County,2022,Clear Hills County2022,0,0
Clearwater County,2012,Clearwater County2012,371716.1,24
Clearwater County,2014,Clearwater County2014,43940.8,5
Clearwater County,2014,Clearwater County2014,0,1
Clearwater County,2016,Clearwater County2016,23.8,3
Clearwater County,2016,Clearwater County2016,11564.6,1
Clearwater County,2017,Clearwater County2017,755.6,1
Clearwater County,2018,Clearwater County2018,0,0
Clearwater County,2019,Clearwater County2019,0,0
Clearwater County,2020,Clearwater County2020,0,0
Clearwater County,2021,Clearwater County2021,0,0
Clearwater County,2022,Clearwater County2022,0,0
County of Grande Prairie,2013,County of Grande Prairie2013,13338.06,1
County of Grande Prairie,2013,County of Grande Prairie2013,371716.1,24
County of Grande Prairie,2014,County of Grande Prairie2014,43940.8,5
County of Grande Prairie,2015,County of Grande Prairie2015,759.2,1
County of Grande Prairie,2015,County of Grande Prairie2015,0,1
County of Grande Prairie,2016,County of Grande Prairie2016,23.9,1
County of Grande Prairie,2018,County of Grande Prairie2018,0,0
County of Grande Prairie,2019,County of Grande Prairie2019,0,0
County of Grande Prairie,2020,County of Grande Prairie2020,0,0
County of Grande Prairie,2021,County of Grande Prairie2021,0,0
County of Grande Prairie,2022,County of Grande Prairie2022,0,0
County of Northern Lights,2012,County of Northern Lights2012,25.11,1
County of Northern Lights,2012,County of Northern Lights2012,0,2
County of Northern Lights,2014,County of Northern Lights2014,43940.8,5
County of Northern Lights,2014,County of Northern Lights2014,371716.1,24
County of Northern Lights,2015,County of Northern Lights2015,759.2,1
County of Northern Lights,2017,County of Northern Lights2017,17250.6,5
County of Northern Lights,2018,County of Northern Lights2018,0,0
County of Northern Lights,2019,County of Northern Lights2019,0,0
County of Northern Lights,2020,County of Northern Lights2020,0,0
County of Northern Lights,2021,County of Northern Lights2021,0,0
County of Northern Lights,2022,County of Northern Lights2022,0,0
County of Wetaskiwin,2012,County of Wetaskiwin2012,1037.4,1
County of Wetaskiwin,2013,County of Wetaskiwin2013,0,2
County of Wetaskiwin,2014,County of Wetaskiwin2014,18189,0
County of Wetaskiwin,2015,County of Wetaskiwin2015,27.8,1
County of Wetaskiwin,2016,County of Wetaskiwin2016,43940.8,5
County of Wetaskiwin,2016,County of Wetaskiwin2016,371716.1,24
County of Wetaskiwin,2018,County of Wetaskiwin2018,0,0
County of Wetaskiwin,2019,County of Wetaskiwin2019,0,0
County of Wetaskiwin,2020,County of Wetaskiwin2020,0,0
County of Wetaskiwin,2021,County of Wetaskiwin2021,0,0
County of Wetaskiwin,2022,County of Wetaskiwin2022,0,0
Kananaskis Improvement District,2013,Kananaskis Improvement District2013,0,3
Kananaskis Improvement District,2015,Kananaskis Improvement District2015,18189,0
Kananaskis Improvement District,2016,Kananaskis Improvement District2016,27.8,2
Kananaskis Improvement District,2016,Kananaskis Improvement District2016,43940.8,5
Kananaskis Improvement District,2017,Kananaskis Improvement District2017,1476.78,1
Kananaskis Improvement District,2017,Kananaskis Improvement District2017,371716.1,24
Kananaskis Improvement District,2018,Kananaskis Improvement District2018,0,0
Kananaskis Improvement District,2019,Kananaskis Improvement District2019,0,0
Kananaskis Improvement District,2020,Kananaskis Improvement District2020,0,0
Kananaskis Improvement District,2021,Kananaskis Improvement District2021,0,0
Kananaskis Improvement District,2022,Kananaskis Improvement District2022,0,0
Lac La Biche County,2012,Lac La Biche County2012,1610.5,2
Lac La Biche County,2012,Lac La Biche County2012,0,4
Lac La Biche County,2013,Lac La Biche County2013,43940.8,8
Lac La Biche County,2014,Lac La Biche County2014,43.4,1
Lac La Biche County,2015,Lac La Biche County2015,18189,0
Lac La Biche County,2015,Lac La Biche County2015,371716.1,41
Lac La Biche County,2018,Lac La Biche County2018,0,0
Lac La Biche County,2019,Lac La Biche County2019,0,0
Lac La Biche County,2020,Lac La Biche County2020,0,0
Lac La Biche County,2021,Lac La Biche County2021,0,0
