CSDUID,CSD,Period,IndicatorSummaryDescription,Count
4805031,Starland County,2001,Cattle and Calves (number of),0.0
4805031,Starland County,2006,Cattle and Calves (number of),34341.0
4805031,Starland County,2011,Cattle and Calves (number of),35178.0
4805031,Starland County,2016,Cattle and Calves (number of),54027.0
4805031,Starland County,2021,Cattle and Calves (number of),33028.0
4805041,Kneehill County,2021,Cattle and Calves (number of),146438.0
4805041,Kneehill County,2001,Cattle and Calves (number of),0.0
4805041,Kneehill County,2006,Cattle and Calves (number of),126025.0
4805041,Kneehill County,2011,Cattle and Calves (number of),81577.0
4805041,Kneehill County,2016,Cattle and Calves (number of),125417.0
4802001,Warner County No. 5,2001,Cattle and Calves (number of),0.0
4802001,Warner County No. 5,2006,Cattle and Calves (number of),109253.0
4802001,Warner County No. 5,2011,Cattle and Calves (number of),91109.0
4802001,Warner County No. 5,2016,Cattle and Calves (number of),86445.0
4802001,Warner County No. 5,2021,Cattle and Calves (number of),89959.0
4807049,Wainwright No. 61,2021,Cattle and Calves (number of),72090.0
4807049,Wainwright No. 61,2001,Cattle and Calves (number of),0.0
4807049,Wainwright No. 61,2006,Cattle and Calves (number of),99236.0
4807049,Wainwright No. 61,2011,Cattle and Calves (number of),67453.0
4807049,Wainwright No. 61,2016,Cattle and Calves (number of),84352.0
4808001,Red Deer County,2001,Cattle and Calves (number of),0.0
4808001,Red Deer County,2006,Cattle and Calves (number of),212507.0
4808001,Red Deer County,2011,Cattle and Calves (number of),145351.0
4808001,Red Deer County,2016,Cattle and Calves (number of),136435.0
4808001,Red Deer County,2021,Cattle and Calves (number of),135787.0
4805012,Wheatland County,2021,Cattle and Calves (number of),172386.0
4805012,Wheatland County,2001,Cattle and Calves (number of),0.0
4805012,Wheatland County,2006,Cattle and Calves (number of),206252.0
4805012,Wheatland County,2011,Cattle and Calves (number of),162218.0
4805012,Wheatland County,2016,Cattle and Calves (number of),150167.0
4807019,Stettler County No. 6,2001,Cattle and Calves (number of),0.0
4807019,Stettler County No. 6,2006,Cattle and Calves (number of),119135.0
4807019,Stettler County No. 6,2011,Cattle and Calves (number of),109585.0
4807019,Stettler County No. 6,2016,Cattle and Calves (number of),122459.0
4807019,Stettler County No. 6,2021,Cattle and Calves (number of),131015.0
4808022,Lacombe County,2021,Cattle and Calves (number of),102532.0
4808022,Lacombe County,2001,Cattle and Calves (number of),0.0
4808022,Lacombe County,2006,Cattle and Calves (number of),137017.0
4808022,Lacombe County,2011,Cattle and Calves (number of),105531.0
4808022,Lacombe County,2016,Cattle and Calves (number of),101636.0
4807031,Flagstaff County,2001,Cattle and Calves (number of),0.0
4807031,Flagstaff County,2006,Cattle and Calves (number of),91143.0
4807031,Flagstaff County,2011,Cattle and Calves (number of),57095.0
4807031,Flagstaff County,2016,Cattle and Calves (number of),59674.0
4807031,Flagstaff County,2021,Cattle and Calves (number of),66026.0
4807011,Paintearth County No. 18,2021,Cattle and Calves (number of),74447.0
4807011,Paintearth County No. 18,2001,Cattle and Calves (number of),0.0
4807011,Paintearth County No. 18,2006,Cattle and Calves (number of),78726.0
4807011,Paintearth County No. 18,2011,Cattle and Calves (number of),70016.0
4807011,Paintearth County No. 18,2016,Cattle and Calves (number of),70618.0
4810001,Camrose County,2001,Cattle and Calves (number of),0.0
4810001,Camrose County,2006,Cattle and Calves (number of),93652.0
4810001,Camrose County,2011,Cattle and Calves (number of),62128.0
