Municipality,Year,Key,Count_fires,Sum_firesize
Athabasca County,2012,Athabasca County2012,1,1037.4
Athabasca County,2013,Athabasca County2013,0,0
Athabasca County,2014,Athabasca County2014,0,0
Athabasca County,2015,Athabasca County2015,0,0
Athabasca County,2016,Athabasca County2016,1,65
Athabasca County,2017,Athabasca County2017,0,0
Athabasca County,2018,Athabasca County2018,1,11.3
Athabasca County,2019,Athabasca County2019,1,20.9
Athabasca County,2020,Athabasca County2020,0,0
Athabasca County,2021,Athabasca County2021,0,0
Athabasca County,2022,Athabasca County2022,0,0
Big Lakes County,2012,Big Lakes County2012,2,36
Big Lakes County,2013,Big Lakes County2013,0,0
Big Lakes County,2014,Big Lakes County2014,3,77.4
Big Lakes County,2015,Big Lakes County2015,8,350.8
Big Lakes County,2016,Big Lakes County2016,0,0
Big Lakes County,2017,Big Lakes County2017,0,0
Big Lakes County,2018,Big Lakes County2018,1,25.11
Big Lakes County,2019,Big Lakes County2019,1,234.2
Big Lakes County,2020,Big Lakes County2020,1,243.79
Big Lakes County,2021,Big Lakes County2021,1,18.9
Big Lakes County,2022,Big Lakes County2022,3,166.9
Brazeau County,2012,Brazeau County2012,1,357
Brazeau County,2013,Brazeau County2013,1,575.6
Brazeau County,2014,Brazeau County2014,0,0
Brazeau County,2015,Brazeau County2015,2,759.2
Brazeau County,2016,Brazeau County2016,0,0
Brazeau County,2017,Brazeau County2017,0,0
Brazeau County,2018,Brazeau County2018,0,0
Brazeau County,2019,Brazeau County2019,0,0
Brazeau County,2020,Brazeau County2020,0,0
Brazeau County,2021,Brazeau County2021,0,0
Brazeau County,2022,Brazeau County2022,0,0
Census Division No. 9,2012,Census Division No. 92012,0,0
Census Division No. 9,2013,Census Division No. 92013,1,244.2
Census Division No. 9,2014,Census Division No. 92014,0,0
Census Division No. 9,2015,Census Division No. 92015,0,0
Census Division No. 9,2016,Census Division No. 92016,1,19.5
Census Division No. 9,2017,Census Division No. 92017,1,67
Census Division No. 9,2018,Census Division No. 92018,0,0
Census Division No. 9,2019,Census Division No. 92019,0,0
