CSD,Period,Crop Type,Count
Starland County,2006,Canola,69750
Starland County,2011,Canola,105159
Starland County,2016,Canola,116519
Starland County,2021,Canola,111193
Kneehill County,2006,Canola,133570
Kneehill County,2011,Canola,195722
Kneehill County,2016,Canola,202121
Kneehill County,2021,Canola,190675
Warner County No. 5,2006,Canola,40073
Warner County No. 5,2011,Canola,108563
Warner County No. 5,2016,Canola,100211
Warner County No. 5,2021,Canola,107154
Wainwright No. 61,2006,Canola,83550
Wainwright No. 61,2011,Canola,131156
Wainwright No. 61,2016,Canola,159385
Wainwright No. 61,2021,Canola,156561
Red Deer County,2006,Canola,88992
Red Deer County,2011,Canola,133735
Red Deer County,2016,Canola,143988
Red Deer County,2021,Canola,150464
Wheatland County,2006,Canola,130052
Wheatland County,2011,Canola,223051
Wheatland County,2016,Canola,217644
Wheatland County,2021,Canola,259984
Stettler County No. 6,2006,Canola,79371
Stettler County No. 6,2011,Canola,102088
Stettler County No. 6,2016,Canola,106584
Stettler County No. 6,2021,Canola,121724
Lacombe County,2006,Canola,77614
Lacombe County,2011,Canola,117265
Lacombe County,2016,Canola,101977
Lacombe County,2021,Canola,121069
Flagstaff County,2006,Canola,179370
Flagstaff County,2011,Canola,217256
Flagstaff County,2016,Canola,233293
Flagstaff County,2021,Canola,237312
Paintearth County No. 18,2006,Canola,47743
Paintearth County No. 18,2011,Canola,76064
Paintearth County No. 18,2016,Canola,70944
Paintearth County No. 18,2021,Canola,73116
Camrose County,2006,Canola,178573
Camrose County,2011,Canola,210204
Camrose County,2016,Canola,216301
Camrose County,2021,Canola,227769
Edmonton,2006,Canola,12897
Edmonton,2011,Canola,3487
Edmonton,2016,Canola,9156
Edmonton,2021,Canola,13722
Cardston County,2006,Canola,37725
Cardston County,2011,Canola,76331
Cardston County,2016,Canola,93718
Cardston County,2021,Canola,91809
Newell County,2006,Canola,26957
Newell County,2011,Canola,68625
Newell County,2016,Canola,53292
Newell County,2021,Canola,73887
Ponoka County,2006,Canola,38611
Ponoka County,2011,Canola,65205
Ponoka County,2016,Canola,84821
Ponoka County,2021,Canola,86031
Lac la Biche County,2006,Canola,3545
Lac la Biche County,2011,Canola,15307
Lac la Biche County,2016,Canola,18391
Lac la Biche County,2021,Canola,22336
Clearwater County,2006,Canola,4848
Clearwater County,2011,Canola,7446
Clearwater County,2016,Canola,7969
Clearwater County,2021,Canola,12083
Minburn County No. 27,2006,Canola,141092
Minburn County No. 27,2011,Canola,180019
Minburn County No. 27,2016,Canola,191190
Minburn County No. 27,2021,Canola,191916
Westlock County,2006,Canola,92381
