CSD,Period,Total_Dwelling_Count
Sedgewick,1994,364.0
Sedgewick,1995,378.0
Sedgewick,1996,380.0
Sedgewick,1997,384.0
Sedgewick,1998,388.0
Sedgewick,1999,388.0
Sedgewick,2000,388.0
Sedgewick,2001,388.0
Sedgewick,2002,387.0
Sedgewick,2003,389.0
Sedgewick,2004,393.0
Sedgewick,2005,393.0
Sedgewick,2006,396.0
Sedgewick,2007,401.0
Sedgewick,2008,403.0
Sedgewick,2009,407.0
Sedgewick,2010,406.0
Sedgewick,2011,402.0
Sedgewick,2012,396.0
Sedgewick,2013,396.0
Sedgewick,2014,398.0
Sedgewick,2015,398.0
Sedgewick,2016,397.0
Sedgewick,2017,397.0
Sedgewick,2018,397.0
Sedgewick,2019,397.0
Sedgewick,2020,397.0
Sedgewick,2021,397.0
Sedgewick,2022,397.0
Sedgewick,2023,398.0
Lougheed,2023,131.0
Lougheed,1994,105.0
Lougheed,1995,105.0
Lougheed,1996,105.0
Lougheed,1997,100.0
Lougheed,1998,100.0
Lougheed,1999,100.0
Lougheed,2000,100.0
Lougheed,2001,117.0
Lougheed,2002,117.0
Lougheed,2003,96.0
Lougheed,2004,96.0
Lougheed,2005,100.0
Lougheed,2006,100.0
Lougheed,2007,103.0
Lougheed,2008,106.0
Lougheed,2009,124.0
Lougheed,2010,124.0
Lougheed,2011,125.0
Lougheed,2012,125.0
Lougheed,2013,125.0
Lougheed,2014,127.0
Lougheed,2015,129.0
Lougheed,2016,129.0
Lougheed,2017,129.0
Lougheed,2018,129.0
Lougheed,2019,129.0
Lougheed,2020,129.0
Lougheed,2021,129.0
Lougheed,2022,131.0
Red Deer,1994,23396.0
Red Deer,1995,24056.0
Red Deer,1996,24056.0
Red Deer,1997,24056.0
Red Deer,1998,24056.0
Red Deer,1999,25618.0
Red Deer,2000,27338.0
Red Deer,2001,25618.0
Red Deer,2002,29861.0
Red Deer,2003,30559.0
Red Deer,2004,33399.0
Red Deer,2005,34038.0
Red Deer,2006,34342.0
Red Deer,2007,36138.0
Red Deer,2008,36776.0
