CSD,Period,"Apartment, less than 5 stories (Count)","Apartment, 5 or more stories (Count)","Apartment, duplex (Count)",Movable dwelling (Count),Other attached dwelling (Count),Row house (Count),Semi-detached house (Count),Single-detached house (Count),Key
Acadia No. 34,2001,0,0,0,0,0,0,0,160,Acadia No. 342001
Acadia No. 34,2006,0,0,0,10,0,0,0,150,Acadia No. 342006
Acadia No. 34,2011,0,0,0,10,0,0,0,140,Acadia No. 342011
Acadia No. 34,2016,0,0,0,5,0,0,0,155,Acadia No. 342016
Acadia No. 34,2021,0,0,0,35,0,0,0,125,Acadia No. 342021
Acme,2001,0,0,0,60,5,20,5,180,Acme2001
Acme,2006,10,0,0,55,0,0,0,210,Acme2006
Acme,2011,0,0,0,65,5,20,5,185,Acme2011
Acme,2016,0,0,0,65,0,15,0,195,Acme2016
Acme,2021,0,0,0,30,10,0,0,235,Acme2021
Airdrie,2001,415,0,20,60,0,505,355,5200,Airdrie2001
Airdrie,2006,1020,0,45,65,0,1005,630,7330,Airdrie2006
Airdrie,2011,1205,95,95,175,0,1765,920,10770,Airdrie2011
Airdrie,2016,2610,40,70,175,65,2670,1290,14745,Airdrie2016
Airdrie,2021,3270,40,80,205,8840,3780,1660,17215,Airdrie2021
Alberta Beach,2001,10,0,0,5,0,0,0,310,Alberta Beach2001
Alberta Beach,2006,0,0,0,0,25,0,0,390,Alberta Beach2006
Alberta Beach,2011,5,0,0,0,5,5,0,410,Alberta Beach2011
Alberta Beach,2016,5,0,0,5,0,0,5,460,Alberta Beach2016
Alberta Beach,2021,10,0,0,0,10,0,0,405,Alberta Beach2021
Alexander 134,2001,0,0,0,5,0,0,0,180,Alexander 1342001
Alexander 134,2006,0,0,0,0,0,0,0,225,Alexander 1342006
Alexander 134,2011,0,0,0,10,0,0,0,235,Alexander 1342011
Alexander 134,2016,0,0,5,15,0,0,0,245,Alexander 1342016
Alexander 134,2021,0,0,0,0,0,0,0,285,Alexander 1342021
Alexis 133,2001,0,0,0,15,0,0,0,150,Alexis 1332001
Alexis 133,2006,0,0,0,20,0,0,0,145,Alexis 1332006
Alexis 133,2011,0,0,0,35,0,0,0,155,Alexis 1332011
Alexis 133,2016,0,0,0,30,0,0,15,130,Alexis 1332016
Alexis 133,2021,0,0,0,25,10,0,10,165,Alexis 1332021
Alix,2001,0,0,5,0,0,15,5,315,Alix2001
Alix,2006,10,0,0,70,0,10,10,240,Alix2006
Alix,2011,15,0,0,45,0,0,15,280,Alix2011
Alix,2016,5,0,5,55,0,15,5,250,Alix2016
Alix,2021,0,0,15,70,20,0,0,285,Alix2021
Alliance,2001,0,0,0,0,0,5,0,80,Alliance2001
Alliance,2006,0,0,0,10,0,0,0,65,Alliance2006
Alliance,2011,0,10,0,5,0,5,0,65,Alliance2011
Alliance,2016,0,0,0,5,0,0,0,75,Alliance2016
Alliance,2021,0,0,0,25,0,0,0,65,Alliance2021
Allison Bay 219,2001,0,0,0,0,0,0,0,25,Allison Bay 2192001
Allison Bay 219,2011,0,0,0,0,0,0,0,30,Allison Bay 2192011
Allison Bay 219,2016,0,0,0,0,0,0,0,40,Allison Bay 2192016
Allison Bay 219,2021,0,0,0,0,0,0,0,30,Allison Bay 2192021
Amisk,2001,0,0,0,15,0,0,0,60,Amisk2001
Amisk,2006,0,0,0,10,0,0,0,65,Amisk2006
Amisk,2011,0,0,0,15,0,0,0,70,Amisk2011
Amisk,2016,0,0,0,20,5,5,0,60,Amisk2016
