CSD,Period,Crop Type,Count
Starland County,2006,Non-durum Wheat,183625
Starland County,2011,Non-durum Wheat,147156
Starland County,2016,Non-durum Wheat,132256
Starland County,2021,Non-durum Wheat,142320
Kneehill County,2006,Non-durum Wheat,241344
Kneehill County,2011,Non-durum Wheat,212140
Kneehill County,2016,Non-durum Wheat,198770
Kneehill County,2021,Non-durum Wheat,198359
Warner County No. 5,2006,Non-durum Wheat,163654
Warner County No. 5,2011,Non-durum Wheat,146251
Warner County No. 5,2016,Non-durum Wheat,93803
Warner County No. 5,2021,Non-durum Wheat,108364
Wainwright No. 61,2006,Non-durum Wheat,141333
Wainwright No. 61,2011,Non-durum Wheat,0
Wainwright No. 61,2016,Non-durum Wheat,158395
Wainwright No. 61,2021,Non-durum Wheat,132860
Red Deer County,2006,Non-durum Wheat,76684
Red Deer County,2011,Non-durum Wheat,91880
Red Deer County,2016,Non-durum Wheat,129007
Red Deer County,2021,Non-durum Wheat,128462
Wheatland County,2006,Non-durum Wheat,327719
Wheatland County,2011,Non-durum Wheat,289289
Wheatland County,2016,Non-durum Wheat,280172
Wheatland County,2021,Non-durum Wheat,299488
Stettler County No. 6,2006,Non-durum Wheat,98440
Stettler County No. 6,2011,Non-durum Wheat,113649
Stettler County No. 6,2016,Non-durum Wheat,109308
Stettler County No. 6,2021,Non-durum Wheat,119551
Lacombe County,2006,Non-durum Wheat,0
Lacombe County,2011,Non-durum Wheat,73615
Lacombe County,2016,Non-durum Wheat,94059
Lacombe County,2021,Non-durum Wheat,104362
Flagstaff County,2006,Non-durum Wheat,267887
Flagstaff County,2011,Non-durum Wheat,0
Flagstaff County,2016,Non-durum Wheat,251929
Flagstaff County,2021,Non-durum Wheat,229150
Paintearth County No. 18,2006,Non-durum Wheat,97682
Paintearth County No. 18,2011,Non-durum Wheat,96081
Paintearth County No. 18,2016,Non-durum Wheat,85454
Paintearth County No. 18,2021,Non-durum Wheat,85928
Camrose County,2006,Non-durum Wheat,180634
Camrose County,2011,Non-durum Wheat,184681
Camrose County,2016,Non-durum Wheat,183430
Camrose County,2021,Non-durum Wheat,188305
Edmonton,2006,Non-durum Wheat,0
Edmonton,2011,Non-durum Wheat,0
Edmonton,2016,Non-durum Wheat,0
Edmonton,2021,Non-durum Wheat,12836
Cardston County,2006,Non-durum Wheat,161971
Cardston County,2011,Non-durum Wheat,135574
Cardston County,2016,Non-durum Wheat,123341
Cardston County,2021,Non-durum Wheat,89232
Newell County,2006,Non-durum Wheat,93596
Newell County,2011,Non-durum Wheat,101292
Newell County,2016,Non-durum Wheat,96407
Newell County,2021,Non-durum Wheat,91281
Ponoka County,2006,Non-durum Wheat,0
Ponoka County,2011,Non-durum Wheat,35011
Ponoka County,2016,Non-durum Wheat,67093
Ponoka County,2021,Non-durum Wheat,61115
Lac la Biche County,2006,Non-durum Wheat,0
Lac la Biche County,2011,Non-durum Wheat,0
Lac la Biche County,2016,Non-durum Wheat,0
Lac la Biche County,2021,Non-durum Wheat,13248
Clearwater County,2006,Non-durum Wheat,0
Clearwater County,2011,Non-durum Wheat,6924
Clearwater County,2016,Non-durum Wheat,4835
Clearwater County,2021,Non-durum Wheat,0
Minburn County No. 27,2006,Non-durum Wheat,132162
Minburn County No. 27,2011,Non-durum Wheat,145633
Minburn County No. 27,2016,Non-durum Wheat,151971
Minburn County No. 27,2021,Non-durum Wheat,156667
Westlock County,2006,Non-durum Wheat,0
Westlock County,2011,Non-durum Wheat,83743
Westlock County,2016,Non-durum Wheat,113770
Westlock County,2021,Non-durum Wheat,108295
Woodlands County,2006,Non-durum Wheat,1082
Woodlands County,2011,Non-durum Wheat,0
Woodlands County,2016,Non-durum Wheat,6640
Woodlands County,2021,Non-durum Wheat,3679
Barrhead County No. 11,2006,Non-durum Wheat,32692
Barrhead County No. 11,2011,Non-durum Wheat,47199
Barrhead County No. 11,2016,Non-durum Wheat,69713
Barrhead County No. 11,2021,Non-durum Wheat,61751
Beaver County,2006,Non-durum Wheat,145359
Beaver County,2011,Non-durum Wheat,155599
Beaver County,2016,Non-durum Wheat,141539
Beaver County,2021,Non-durum Wheat,132477
Forty Mile County No. 8,2006,Non-durum Wheat,318254
Forty Mile County No. 8,2011,Non-durum Wheat,263332
Forty Mile County No. 8,2016,Non-durum Wheat,131879
Forty Mile County No. 8,2021,Non-durum Wheat,169439
Cypress County,2006,Non-durum Wheat,164920
Cypress County,2011,Non-durum Wheat,165907
Cypress County,2016,Non-durum Wheat,97972
Cypress County,2021,Non-durum Wheat,106669
Willow Creek No. 26,2006,Non-durum Wheat,90276
Willow Creek No. 26,2011,Non-durum Wheat,85737
Willow Creek No. 26,2016,Non-durum Wheat,77724
Willow Creek No. 26,2021,Non-durum Wheat,106865
Lethbridge County,2006,Non-durum Wheat,117133
Lethbridge County,2011,Non-durum Wheat,132506
Lethbridge County,2016,Non-durum Wheat,129479
Lethbridge County,2021,Non-durum Wheat,156413
"Taber, M.D.",2006,Non-durum Wheat,169908
"Taber, M.D.",2011,Non-durum Wheat,172209
"Taber, M.D.",2016,Non-durum Wheat,130026
"Taber, M.D.",2021,Non-durum Wheat,123959
Pincher Creek No. 9,2006,Non-durum Wheat,19666
Pincher Creek No. 9,2011,Non-durum Wheat,35411
