CSD,Period,IndicatorSummaryDescription,Count
Starland County,2001,Pigs (number of),0
Starland County,2006,Pigs (number of),31367
Starland County,2011,Pigs (number of),29348
Starland County,2016,Pigs (number of),58575
Starland County,2021,Pigs (number of),35116
Kneehill County,2021,Pigs (number of),67842
Kneehill County,2001,Pigs (number of),0
Kneehill County,2006,Pigs (number of),96720
Kneehill County,2011,Pigs (number of),46591
Kneehill County,2016,Pigs (number of),44613
Warner County No. 5,2001,Pigs (number of),0
Warner County No. 5,2006,Pigs (number of),80683
Warner County No. 5,2011,Pigs (number of),88368
Warner County No. 5,2016,Pigs (number of),104428
Warner County No. 5,2021,Pigs (number of),83733
Wainwright No. 61,2021,Pigs (number of),106875
Wainwright No. 61,2001,Pigs (number of),0
Wainwright No. 61,2006,Pigs (number of),67000
Wainwright No. 61,2011,Pigs (number of),55785
Wainwright No. 61,2016,Pigs (number of),92479
Red Deer County,2001,Pigs (number of),0
Red Deer County,2006,Pigs (number of),75439
Red Deer County,2011,Pigs (number of),87015
Red Deer County,2016,Pigs (number of),52460
Red Deer County,2021,Pigs (number of),61647
Wheatland County,2021,Pigs (number of),208307
Wheatland County,2001,Pigs (number of),0
Wheatland County,2006,Pigs (number of),155947
Wheatland County,2011,Pigs (number of),26765
Wheatland County,2016,Pigs (number of),94798
Stettler County No. 6,2001,Pigs (number of),0
Stettler County No. 6,2006,Pigs (number of),59299
Stettler County No. 6,2011,Pigs (number of),50158
Stettler County No. 6,2016,Pigs (number of),37061
Stettler County No. 6,2021,Pigs (number of),64822
Lacombe County,2021,Pigs (number of),122294
Lacombe County,2001,Pigs (number of),0
Lacombe County,2006,Pigs (number of),203665
Lacombe County,2011,Pigs (number of),93684
Lacombe County,2016,Pigs (number of),83494
Flagstaff County,2001,Pigs (number of),0
Flagstaff County,2006,Pigs (number of),0
Flagstaff County,2011,Pigs (number of),0
Flagstaff County,2016,Pigs (number of),0
Flagstaff County,2021,Pigs (number of),14643
Paintearth County No. 18,2016,Pigs (number of),21202
Paintearth County No. 18,2001,Pigs (number of),0
Paintearth County No. 18,2006,Pigs (number of),31364
Paintearth County No. 18,2011,Pigs (number of),25837
Paintearth County No. 18,2021,Pigs (number of),0
Camrose County,2001,Pigs (number of),0
Camrose County,2006,Pigs (number of),26696
Camrose County,2011,Pigs (number of),15387
Camrose County,2016,Pigs (number of),15456
Camrose County,2021,Pigs (number of),23533
Edmonton,2011,Pigs (number of),0
Edmonton,2001,Pigs (number of),0
Edmonton,2006,Pigs (number of),0
Edmonton,2016,Pigs (number of),0
Edmonton,2021,Pigs (number of),0
Cardston County,2001,Pigs (number of),0
Cardston County,2006,Pigs (number of),46336
Cardston County,2011,Pigs (number of),63489
Cardston County,2016,Pigs (number of),51318
Cardston County,2021,Pigs (number of),52610
Newell County,2021,Pigs (number of),39648
Newell County,2001,Pigs (number of),0
Newell County,2006,Pigs (number of),37841
Newell County,2011,Pigs (number of),23656
Newell County,2016,Pigs (number of),37470
Ponoka County,2001,Pigs (number of),0
Ponoka County,2006,Pigs (number of),69480
Ponoka County,2011,Pigs (number of),57583
Ponoka County,2021,Pigs (number of),0
Ponoka County,2016,Pigs (number of),38085
Lac la Biche County,2016,Pigs (number of),40
Lac la Biche County,2001,Pigs (number of),0
Lac la Biche County,2006,Pigs (number of),182
Lac la Biche County,2011,Pigs (number of),29
Lac la Biche County,2021,Pigs (number of),0
Clearwater County,2001,Pigs (number of),0
Clearwater County,2006,Pigs (number of),20896
Clearwater County,2011,Pigs (number of),19646
Clearwater County,2021,Pigs (number of),0
Clearwater County,2016,Pigs (number of),7853
Minburn County No. 27,2016,Pigs (number of),9699
Minburn County No. 27,2001,Pigs (number of),0
Minburn County No. 27,2006,Pigs (number of),15080
Minburn County No. 27,2011,Pigs (number of),8159
Minburn County No. 27,2021,Pigs (number of),0
Westlock County,2001,Pigs (number of),0
Westlock County,2006,Pigs (number of),50965
Westlock County,2011,Pigs (number of),31621
Westlock County,2016,Pigs (number of),32300
Westlock County,2021,Pigs (number of),14847
Woodlands County,2006,Pigs (number of),319
Woodlands County,2001,Pigs (number of),0
Woodlands County,2011,Pigs (number of),0
Woodlands County,2016,Pigs (number of),0
Woodlands County,2021,Pigs (number of),0
Barrhead County No. 11,2001,Pigs (number of),0
Barrhead County No. 11,2006,Pigs (number of),65894
Barrhead County No. 11,2011,Pigs (number of),31029
Barrhead County No. 11,2016,Pigs (number of),21246
Barrhead County No. 11,2021,Pigs (number of),9566
Beaver County,2021,Pigs (number of),18395
Beaver County,2001,Pigs (number of),0
Beaver County,2006,Pigs (number of),26671
Beaver County,2011,Pigs (number of),38826
Beaver County,2016,Pigs (number of),19002
Forty Mile County No. 8,2001,Pigs (number of),0
Forty Mile County No. 8,2006,Pigs (number of),48446
Forty Mile County No. 8,2011,Pigs (number of),31023
Forty Mile County No. 8,2016,Pigs (number of),0
Forty Mile County No. 8,2021,Pigs (number of),57843
Cypress County,2011,Pigs (number of),14497
Cypress County,2001,Pigs (number of),0
Cypress County,2006,Pigs (number of),28743
Cypress County,2016,Pigs (number of),0
Cypress County,2021,Pigs (number of),0
Willow Creek No. 26,2001,Pigs (number of),0
Willow Creek No. 26,2006,Pigs (number of),70747
Willow Creek No. 26,2011,Pigs (number of),32653
Willow Creek No. 26,2016,Pigs (number of),37357
Willow Creek No. 26,2021,Pigs (number of),37222
Lethbridge County,2021,Pigs (number of),116138
Lethbridge County,2001,Pigs (number of),0
Lethbridge County,2006,Pigs (number of),120020
Lethbridge County,2011,Pigs (number of),65673
Lethbridge County,2016,Pigs (number of),73161
"Taber, M.D.",2001,Pigs (number of),0
"Taber, M.D.",2006,Pigs (number of),110760
"Taber, M.D.",2011,Pigs (number of),82928
"Taber, M.D.",2016,Pigs (number of),73305
"Taber, M.D.",2021,Pigs (number of),78394
Pincher Creek No. 9,2021,Pigs (number of),20520
Pincher Creek No. 9,2001,Pigs (number of),0
Pincher Creek No. 9,2006,Pigs (number of),12831
Pincher Creek No. 9,2011,Pigs (number of),54909
Pincher Creek No. 9,2016,Pigs (number of),23988
Special Area No. 2,2001,Pigs (number of),0
Special Area No. 2,2011,Pigs (number of),0
Special Area No. 2,2016,Pigs (number of),0
Special Area No. 2,2021,Pigs (number of),0
Special Area No. 2,2006,Pigs (number of),60547
Special Area No. 3,2001,Pigs (number of),0
Special Area No. 3,2006,Pigs (number of),0
Special Area No. 3,2011,Pigs (number of),0
Special Area No. 3,2016,Pigs (number of),0
Special Area No. 3,2021,Pigs (number of),0
Special Area No. 4,2001,Pigs (number of),0
Special Area No. 4,2006,Pigs (number of),0
Special Area No. 4,2011,Pigs (number of),0
Special Area No. 4,2016,Pigs (number of),0
Special Area No. 4,2021,Pigs (number of),0
Vulcan County,2001,Pigs (number of),0
Vulcan County,2006,Pigs (number of),68745
Vulcan County,2011,Pigs (number of),57764
Vulcan County,2016,Pigs (number of),86773
Vulcan County,2021,Pigs (number of),51644
Foothills County,2001,Pigs (number of),0
Foothills County,2006,Pigs (number of),0
Foothills County,2011,Pigs (number of),0
Foothills County,2016,Pigs (number of),0
Foothills County,2021,Pigs (number of),0
Rocky View County,2001,Pigs (number of),0
Rocky View County,2006,Pigs (number of),37625
Rocky View County,2011,Pigs (number of),17182
Rocky View County,2016,Pigs (number of),37400
Rocky View County,2021,Pigs (number of),23190
Calgary,2011,Pigs (number of),0
Calgary,2001,Pigs (number of),0
Calgary,2006,Pigs (number of),0
Calgary,2016,Pigs (number of),0
Calgary,2021,Pigs (number of),0
Mountain View County,2001,Pigs (number of),0
Mountain View County,2011,Pigs (number of),0
Mountain View County,2016,Pigs (number of),0
Mountain View County,2021,Pigs (number of),0
Mountain View County,2006,Pigs (number of),12938
Provost No. 52,2001,Pigs (number of),0
Provost No. 52,2006,Pigs (number of),0
Provost No. 52,2011,Pigs (number of),0
Provost No. 52,2016,Pigs (number of),0
Provost No. 52,2021,Pigs (number of),0
Smoky River No. 130,2001,Pigs (number of),0
Smoky River No. 130,2006,Pigs (number of),0
Smoky River No. 130,2011,Pigs (number of),0
