CSD,Year,Total # of residence/housing starts
Red Deer,1987,490
Red Deer,1988,426
Red Deer,1989,402
Red Deer,1990,350
Red Deer,1991,294
Red Deer,1992,363
Red Deer,1993,329
Red Deer,1994,300
Red Deer,1995,176
Red Deer,1996,277
Red Deer,1997,425
Red Deer,1998,706
Red Deer,1999,657
Red Deer,2000,962
Red Deer,2001,1331
Red Deer,2002,1485
Red Deer,2003,1124
Red Deer,2004,1343
Red Deer,2005,1270
Red Deer,2006,1429
Red Deer,2007,1558
Red Deer,2008,572
Red Deer,2009,497
Red Deer,2010,585
Red Deer,2011,555
Red Deer,2012,568
Red Deer,2013,784
Red Deer,2014,867
Red Deer,2015,692
Red Deer,2016,375
Red Deer,2017,331
Red Deer,2018,272
Red Deer,2019,244
Red Deer,2020,171
Red Deer,2021,207
Red Deer,2022,166
Red Deer,2023,189
Strathmore,2008,154
Strathmore,2009,68
Strathmore,2010,69
Strathmore,2011,189
Strathmore,2012,85
Strathmore,2013,46
Strathmore,2014,71
Strathmore,2015,108
Strathmore,2016,91
Strathmore,2017,79
Strathmore,2018,67
Strathmore,2019,29
Strathmore,2020,22
Strathmore,2021,52
Strathmore,2022,36
Strathmore,2023,31
Sylvan Lake,2008,323
Sylvan Lake,2009,79
Sylvan Lake,2010,101
Sylvan Lake,2011,139
Sylvan Lake,2012,207
Sylvan Lake,2013,223
Sylvan Lake,2014,238
Sylvan Lake,2015,204
Sylvan Lake,2016,153
Sylvan Lake,2017,94
Sylvan Lake,2018,90
Sylvan Lake,2019,202
Sylvan Lake,2020,54
Sylvan Lake,2021,97
Sylvan Lake,2022,182
Sylvan Lake,2023,118
Red Deer County,2008,80
Red Deer County,2009,92
Red Deer County,2010,51
Red Deer County,2011,62
Red Deer County,2012,115
Red Deer County,2013,100
Red Deer County,2014,108
Red Deer County,2015,105
Red Deer County,2016,61
Red Deer County,2017,83
Red Deer County,2018,128
Red Deer County,2019,83
Red Deer County,2020,82
Red Deer County,2021,144
Red Deer County,2022,109
Red Deer County,2023,94
Lacombe County,2008,52
Lacombe County,2009,64
Lacombe County,2010,31
Lacombe County,2011,60
Lacombe County,2012,57
Lacombe County,2013,60
Lacombe County,2014,83
Lacombe County,2015,64
Lacombe County,2016,47
