CSD,Period,Vehicle_Type,Total_Vehicle_Registration_Count
Sedgewick,2005,Total Motorized Vehicles,1743
Sedgewick,2006,Total Motorized Vehicles,1733
Sedgewick,2007,Total Motorized Vehicles,1805
Sedgewick,2008,Total Motorized Vehicles,1827
Sedgewick,2009,Total Motorized Vehicles,1846
Sedgewick,2010,Total Motorized Vehicles,1846
Sedgewick,2011,Total Motorized Vehicles,1907
Sedgewick,2012,Total Motorized Vehicles,1951
Sedgewick,2013,Total Motorized Vehicles,1980
Sedgewick,2014,Total Motorized Vehicles,2037
Sedgewick,2015,Total Motorized Vehicles,2005
Sedgewick,2016,Total Motorized Vehicles,1956
Sedgewick,2017,Total Motorized Vehicles,1983
Sedgewick,2018,Total Motorized Vehicles,1975
Sedgewick,2019,Total Motorized Vehicles,1947
Sedgewick,2020,Total Motorized Vehicles,1980
Lougheed,2005,Total Motorized Vehicles,725
Lougheed,2006,Total Motorized Vehicles,742
Lougheed,2007,Total Motorized Vehicles,775
Lougheed,2008,Total Motorized Vehicles,784
Lougheed,2009,Total Motorized Vehicles,767
Lougheed,2010,Total Motorized Vehicles,767
Lougheed,2011,Total Motorized Vehicles,799
Lougheed,2012,Total Motorized Vehicles,826
Lougheed,2013,Total Motorized Vehicles,821
Lougheed,2014,Total Motorized Vehicles,849
Lougheed,2015,Total Motorized Vehicles,853
Lougheed,2016,Total Motorized Vehicles,822
Lougheed,2017,Total Motorized Vehicles,817
Lougheed,2018,Total Motorized Vehicles,809
Lougheed,2019,Total Motorized Vehicles,821
Lougheed,2020,Total Motorized Vehicles,834
Red Deer,2005,Total Motorized Vehicles,69394
Red Deer,2006,Total Motorized Vehicles,73309
Red Deer,2007,Total Motorized Vehicles,77226
Red Deer,2008,Total Motorized Vehicles,78857
Red Deer,2009,Total Motorized Vehicles,79679
Red Deer,2010,Total Motorized Vehicles,79679
Red Deer,2011,Total Motorized Vehicles,83466
Red Deer,2012,Total Motorized Vehicles,86641
Red Deer,2013,Total Motorized Vehicles,89627
Red Deer,2014,Total Motorized Vehicles,93030
Red Deer,2015,Total Motorized Vehicles,92096
Red Deer,2016,Total Motorized Vehicles,86902
Red Deer,2017,Total Motorized Vehicles,85220
Red Deer,2018,Total Motorized Vehicles,85721
Red Deer,2019,Total Motorized Vehicles,83801
Red Deer,2020,Total Motorized Vehicles,84098
Strathmore,2005,Total Motorized Vehicles,11692
Strathmore,2006,Total Motorized Vehicles,12655
Strathmore,2007,Total Motorized Vehicles,13711
Strathmore,2008,Total Motorized Vehicles,14242
Strathmore,2009,Total Motorized Vehicles,14574
Strathmore,2010,Total Motorized Vehicles,14574
Strathmore,2011,Total Motorized Vehicles,15161
Strathmore,2012,Total Motorized Vehicles,15877
Strathmore,2013,Total Motorized Vehicles,16391
Strathmore,2014,Total Motorized Vehicles,17050
Strathmore,2015,Total Motorized Vehicles,17274
Strathmore,2016,Total Motorized Vehicles,17101
Strathmore,2017,Total Motorized Vehicles,17073
Strathmore,2018,Total Motorized Vehicles,17537
Strathmore,2019,Total Motorized Vehicles,17447
Strathmore,2020,Total Motorized Vehicles,17661
Hussar,2005,Total Motorized Vehicles,731
Hussar,2006,Total Motorized Vehicles,782
Hussar,2007,Total Motorized Vehicles,798
