CSD,Period,Key,0-4 (Count of People),05-09 (Count of People),10-14 (Count of People),15-19 (Count of People),20-24 (Count of People),25-29 (Count of People),30-34 (Count of People),35-39 (Count of People),40-44 (Count of People),45-49 (Count of People),50-54 (Count of People),55-59 (Count of People),Life Expectancy (Years),Oil Wells (Count),Natural Gas Production (m^3),CH4 Equivalent (t),CO2 Equivalent (t),N2O Equivalent (t),Oats (Count),Canola (Count),Barley (Count),Durum Wheat (Count),Non-Durum Wheat (Count),Other Crops (Count),Cattle and Calves (Count),Pigs (Count),Dwelling Units (Count),"Apartment, less than 5 stories (Count)","Apartment, 5 or more stories (Count)","Apartment, duplex (Count)",Movable dwelling (Count),Other attached dwelling (Count),Row house (Count),Semi-detached house (Count),Single-detached house (Count),Residence/Housing Starts (Count),Vehicle Registration (Count),Fire Size (Hectares),Fires (Count),Adjusted_AQHI
Red Deer,2011,Red Deer2011,6357,1090,5213,6256,8056,9159,7903,6612,6136,6786,7214,4771,79.92999999999999,,,0.0,0.0,0.0,,,,,,,,,39227.0,7340.0,555.0,1065.0,1080.0,35.0,3530.0,2970.0,19775.0,555.0,83466.0,,,2.74906
Red Deer,2012,Red Deer2012,6581,1244,5401,6163,8080,9342,8379,6963,6415,6585,7419,5102,79.97,,,0.0,0.0,0.0,,,,,,,,,39227.0,,,,,,,,,568.0,86641.0,,,2.4325243252432522
Red Deer,2013,Red Deer2013,6716,1277,5565,6073,8162,9334,8873,7323,6621,6403,7459,5374,80.14999999999999,,,0.0,0.0,0.0,,,,,,,,,40893.0,,,,,,,,,784.0,89627.0,,,2.5446600000000004
Red Deer,2014,Red Deer2014,6734,1355,5687,6125,8080,9344,9131,7707,6832,6270,7521,5504,80.17666666666666,,,0.0,0.0,0.0,,,,,,,,,41308.0,,,,,,,,,867.0,93030.0,,,2.23417
Red Deer,2015,Red Deer2015,6652,1359,5775,6149,7785,9215,9174,7910,6990,6235,7223,5582,80.34,,,0.0,0.0,0.0,,,,,,,,,42034.0,,,,,,,,,692.0,92096.0,,,2.26231
Red Deer,2016,Red Deer2016,6493,1255,5801,6201,7515,8812,8992,8016,7082,6360,6806,5707,80.57666666666667,,,0.0,0.0,0.0,,,,,,,,,42664.0,8415.0,590.0,1520.0,1085.0,35.0,4025.0,3255.0,21060.0,375.0,86902.0,,,1.9000409995900038
Red Deer,2017,Red Deer2017,6379,1334,6066,6160,7275,8299,8940,8200,7208,6477,6622,5681,80.67333333333333,,,83462.575,23793.164,158.536,,,,,,,,,42664.0,,,,,,,,,331.0,85220.0,,,2.2627726277262767
Red Deer,2018,Red Deer2018,6333,1341,6301,6171,6975,8029,8710,8425,7305,6594,6399,5718,80.72666666666667,,,84438.625,31503.397,374.884,,,,,,,,,42664.0,,,,,,,,,272.0,85721.0,,,2.6648766487664877
Red Deer,2019,Red Deer2019,6187,1346,6514,6138,6840,7820,8498,8434,7530,6689,6143,5675,80.82,,,79088.0,30295.55058,162.112,,,,,,,,,42664.0,,,,,,,,,244.0,83801.0,,,2.32946
Red Deer,2020,Red Deer2020,6124,1235,6688,6119,6471,7486,8339,8409,7711,6783,6071,5449,80.79,,,81672.8675,39121.5524,197.5144,,,,,,,,,42780.0,,,,,,,,,171.0,84098.0,,,2.2323923239232393
Red Deer,2021,Red Deer2021,5610,1251,6564,6327,6604,7077,7985,8316,7866,6769,6190,5191,80.66000000000001,,,81087.325,67350.3888,392.2872,,,,,,,,,42780.0,8495.0,590.0,1365.0,1040.0,17365.0,4130.0,3335.0,21515.0,207.0,,,,2.36964
