CSD,Period,Key,0-4 (Count of People),05-09 (Count of People),10-14 (Count of People),15-19 (Count of People),20-24 (Count of People),25-29 (Count of People),30-34 (Count of People),35-39 (Count of People),40-44 (Count of People),45-49 (Count of People),50-54 (Count of People),55-59 (Count of People),Life Expectancy (Years),Oil Wells (Count),Natural Gas Production (m^3),CH4 Equivalent (t),CO2 Equivalent (t),N2O Equivalent (t),Oats (Count),Canola (Count),Barley (Count),Durum Wheat (Count),Non-Durum Wheat (Count),Other Crops (Count),Cattle and Calves (Count),Pigs (Count),Dwelling Units (Count),"Apartment, less than 5 stories (Count)","Apartment, 5 or more stories (Count)","Apartment, duplex (Count)",Movable dwelling (Count),Other attached dwelling (Count),Row house (Count),Semi-detached house (Count),Single-detached house (Count),Residence/Housing Starts (Count),Vehicle Registration (Count),Fire Size (Hectares),Fires (Count),Adjusted_AQHI
Sedgewick,2001,Sedgewick2001,40,10,45,92,59,45,49,73,65,55,46,29,,,,,,,,,,,,,,,388.0,25.0,0.0,0.0,5.0,5.0,5.0,5.0,320.0,,,,,
Sedgewick,2002,Sedgewick2002,39,10,45,93,62,45,48,65,64,60,47,29,,,,,,,,,,,,,,,387.0,,,,,,,,,,,,,
Sedgewick,2003,Sedgewick2003,40,9,44,97,57,51,48,62,62,63,45,27,,,,,,,,,,,,,,,389.0,,,,,,,,,,,,,
Sedgewick,2004,Sedgewick2004,41,7,42,98,65,46,52,53,65,69,53,26,,,,0.0,0.0,0.0,,,,,,,,,393.0,,,,,,,,,,,,,
Sedgewick,2005,Sedgewick2005,47,4,49,85,69,54,50,49,68,69,55,33,,,,0.0,0.0,0.0,,,,,,,,,393.0,,,,,,,,,,1743.0,,,
Sedgewick,2006,Sedgewick2006,48,11,55,77,74,59,50,49,76,69,54,34,,,,0.0,0.0,0.0,,,,,,,,,396.0,40.0,0.0,0.0,20.0,0.0,0.0,10.0,295.0,,1733.0,,,
Sedgewick,2007,Sedgewick2007,45,12,48,65,71,60,53,47,71,67,63,32,,,,0.0,0.0,0.0,,,,,,,,,401.0,,,,,,,,,,1805.0,,,
Sedgewick,2008,Sedgewick2008,50,12,48,65,76,66,55,46,68,73,67,36,,,,0.0,0.0,0.0,,,,,,,,,403.0,,,,,,,,,,1827.0,,,
Sedgewick,2009,Sedgewick2009,52,12,46,47,75,67,57,47,57,76,62,35,,,,0.0,0.0,0.0,,,,,,,,,407.0,,,,,,,,,,1846.0,,,
Sedgewick,2010,Sedgewick2010,55,16,44,47,71,74,66,44,50,80,71,35,,,,0.0,0.0,0.0,,,,,,,,,406.0,,,,,,,,,,1846.0,,,
Sedgewick,2011,Sedgewick2011,55,13,45,40,56,62,67,39,46,71,65,45,80.58999999999999,,,0.0,0.0,0.0,,,,,,,,,402.0,20.0,0.0,5.0,35.0,5.0,0.0,5.0,315.0,,1907.0,,,
Sedgewick,2012,Sedgewick2012,53,12,47,42,60,59,65,41,47,62,71,50,80.44333333333333,,,0.0,0.0,0.0,,,,,,,,,396.0,,,,,,,,,,1951.0,,,
Sedgewick,2013,Sedgewick2013,54,14,43,39,59,55,57,46,46,57,71,49,80.07666666666667,,,0.0,0.0,0.0,,,,,,,,,396.0,,,,,,,,,,1980.0,,,
Sedgewick,2014,Sedgewick2014,52,16,42,49,57,56,59,45,50,49,75,52,79.76666666666667,,,0.0,0.0,0.0,,,,,,,,,398.0,,,,,,,,,,2037.0,,,
Sedgewick,2015,Sedgewick2015,52,10,47,49,58,55,55,48,45,47,71,54,79.81333333333333,,,0.0,0.0,0.0,,,,,,,,,398.0,,,,,,,,,,2005.0,,,
Sedgewick,2016,Sedgewick2016,51,14,42,52,54,64,53,48,42,52,67,50,79.67333333333333,,,0.0,0.0,0.0,,,,,,,,,397.0,15.0,0.0,0.0,25.0,0.0,5.0,10.0,315.0,,1956.0,,,
Sedgewick,2017,Sedgewick2017,47,10,30,47,57,68,45,39,46,43,50,58,79.70333333333333,,,0.0,0.0,0.0,,,,,,,,,397.0,,,,,,,,,,1983.0,,,
Sedgewick,2018,Sedgewick2018,59,9,38,43,53,77,37,39,49,40,49,60,79.63,,,0.0,0.0,0.0,,,,,,,,,397.0,,,,,,,,,,1975.0,,,
Sedgewick,2019,Sedgewick2019,54,13,38,40,44,62,47,43,46,42,39,59,79.31,,,0.0,0.0,0.0,,,,,,,,,397.0,,,,,,,,,,1947.0,,,
Sedgewick,2020,Sedgewick2020,59,16,38,44,38,57,42,50,48,38,41,54,79.07,,,0.0,0.0,0.0,,,,,,,,,397.0,,,,,,,,,,1980.0,,,
Sedgewick,2021,Sedgewick2021,45,11,44,40,51,57,50,36,52,37,46,43,79.25666666666666,,,0.0,0.0,0.0,,,,,,,,,397.0,30.0,0.0,0.0,30.0,45.0,0.0,0.0,285.0,,,,,
Sedgewick,2022,Sedgewick2022,57,1,46,31,49,59,51,39,48,45,46,40,79.54666666666667,,,,,,,,,,,,,,397.0,,,,,,,,,,,,,
Sedgewick,2023,Sedgewick2023,55,16,48,31,44,55,59,38,47,48,46,35,,,,,,,,,,,,,,,398.0,,,,,,,,,,,,,
Lougheed,2001,Lougheed2001,9,8,14,20,13,14,7,14,22,16,19,14,,,,,,,,,,,,,,,117.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,90.0,,,,,
Lougheed,2002,Lougheed2002,8,8,10,22,14,15,7,12,21,16,18,15,,,,,,,,,,,,,,,117.0,,,,,,,,,,,,,
Lougheed,2003,Lougheed2003,9,7,10,22,13,17,10,9,20,16,17,16,,,,,,,,,,,,,,,96.0,,,,,,,,,,,,,
Lougheed,2004,Lougheed2004,9,7,11,22,13,19,9,9,20,14,17,13,,,,0.0,0.0,0.0,,,,,,,,,96.0,,,,,,,,,,,,,
Lougheed,2005,Lougheed2005,10,7,11,19,13,22,9,9,17,14,17,12,,,,0.0,0.0,0.0,,,,,,,,,100.0,,,,,,,,,,725.0,,,
Lougheed,2006,Lougheed2006,11,2,14,15,16,22,7,13,11,17,22,10,,,,0.0,0.0,0.0,,,,,,,,,100.0,10.0,0.0,0.0,20.0,0.0,0.0,0.0,70.0,,742.0,,,
Lougheed,2007,Lougheed2007,9,3,15,15,16,23,8,13,10,19,22,10,,,,0.0,0.0,0.0,,,,,,,,,103.0,,,,,,,,,,775.0,,,
Lougheed,2008,Lougheed2008,10,3,15,12,16,21,11,14,7,21,20,10,,,,0.0,0.0,0.0,,,,,,,,,106.0,,,,,,,,,,784.0,,,
Lougheed,2009,Lougheed2009,11,5,14,12,17,22,12,11,8,21,20,12,,,,0.0,0.0,0.0,,,,,,,,,124.0,,,,,,,,,,767.0,,,
Lougheed,2010,Lougheed2010,13,2,15,9,17,22,15,12,7,19,18,17,,,,0.0,0.0,0.0,,,,,,,,,124.0,,,,,,,,,,767.0,,,
Lougheed,2011,Lougheed2011,22,0,10,10,14,20,21,10,11,15,19,16,80.58999999999999,,,0.0,0.0,0.0,,,,,,,,,125.0,0.0,0.0,0.0,25.0,5.0,5.0,5.0,70.0,,799.0,,,
Lougheed,2012,Lougheed2012,23,1,10,12,13,19,20,13,11,14,20,14,80.44333333333333,,,0.0,0.0,0.0,,,,,,,,,125.0,,,,,,,,,,826.0,,,
Lougheed,2013,Lougheed2013,25,0,9,13,12,21,19,13,13,10,22,14,80.07666666666667,,,0.0,0.0,0.0,,,,,,,,,125.0,,,,,,,,,,821.0,,,
Lougheed,2014,Lougheed2014,25,1,11,12,15,19,19,17,9,10,23,12,79.76666666666667,,,0.0,0.0,0.0,,,,,,,,,127.0,,,,,,,,,,849.0,,,
Lougheed,2015,Lougheed2015,25,3,11,16,13,19,20,15,12,9,17,14,79.81333333333333,,,0.0,0.0,0.0,,,,,,,,,129.0,,,,,,,,,,853.0,,,
Lougheed,2016,Lougheed2016,25,4,11,16,13,20,12,19,15,9,13,19,79.67333333333333,,,0.0,0.0,0.0,,,,,,,,,129.0,5.0,0.0,0.0,25.0,5.0,0.0,5.0,70.0,,822.0,,,
Lougheed,2017,Lougheed2017,17,6,9,7,14,6,19,17,15,5,11,13,79.70333333333333,,,0.0,0.0,0.0,,,,,,,,,129.0,,,,,,,,,,817.0,,,
Lougheed,2018,Lougheed2018,13,6,11,7,12,12,11,15,17,12,9,12,79.63,,,0.0,0.0,0.0,,,,,,,,,129.0,,,,,,,,,,809.0,,,
Lougheed,2019,Lougheed2019,15,1,12,9,11,15,7,17,14,11,9,12,79.31,,,0.0,0.0,0.0,,,,,,,,,129.0,,,,,,,,,,821.0,,,
Lougheed,2020,Lougheed2020,15,3,14,8,12,8,18,15,16,8,10,10,79.07,,,0.0,0.0,0.0,,,,,,,,,129.0,,,,,,,,,,834.0,,,
Lougheed,2021,Lougheed2021,16,3,19,9,10,4,17,15,14,8,11,9,79.25666666666666,,,0.0,0.0,0.0,,,,,,,,,129.0,0.0,0.0,0.0,25.0,10.0,0.0,0.0,70.0,,,,,
Lougheed,2022,Lougheed2022,14,6,17,14,6,10,12,13,13,11,9,8,79.54666666666667,,,,,,,,,,,,,,131.0,,,,,,,,,,,,,
Lougheed,2023,Lougheed2023,11,1,19,13,8,18,12,20,10,11,6,8,,,,,,,,,,,,,,,131.0,,,,,,,,,,,,,
