CSDUID,CSD,Period,IndicatorSummaryDescription,Count
4805031,Starland County,2001,Pigs (number of),0.0
4805031,Starland County,2006,Pigs (number of),31367.0
4805031,Starland County,2011,Pigs (number of),29348.0
4805031,Starland County,2016,Pigs (number of),58575.0
4805031,Starland County,2021,Pigs (number of),35116.0
4805041,Kneehill County,2021,Pigs (number of),67842.0
4805041,Kneehill County,2001,Pigs (number of),0.0
4805041,Kneehill County,2006,Pigs (number of),96720.0
4805041,Kneehill County,2011,Pigs (number of),46591.0
4805041,Kneehill County,2016,Pigs (number of),44613.0
4802001,Warner County No. 5,2001,Pigs (number of),0.0
4802001,Warner County No. 5,2006,Pigs (number of),80683.0
4802001,Warner County No. 5,2011,Pigs (number of),88368.0
4802001,Warner County No. 5,2016,Pigs (number of),104428.0
4802001,Warner County No. 5,2021,Pigs (number of),83733.0
4807049,Wainwright No. 61,2021,Pigs (number of),106875.0
4807049,Wainwright No. 61,2001,Pigs (number of),0.0
4807049,Wainwright No. 61,2006,Pigs (number of),67000.0
4807049,Wainwright No. 61,2011,Pigs (number of),55785.0
4807049,Wainwright No. 61,2016,Pigs (number of),92479.0
4808001,Red Deer County,2001,Pigs (number of),0.0
4808001,Red Deer County,2006,Pigs (number of),75439.0
4808001,Red Deer County,2011,Pigs (number of),87015.0
4808001,Red Deer County,2016,Pigs (number of),52460.0
4808001,Red Deer County,2021,Pigs (number of),61647.0
4805012,Wheatland County,2021,Pigs (number of),208307.0
4805012,Wheatland County,2001,Pigs (number of),0.0
4805012,Wheatland County,2006,Pigs (number of),155947.0
4805012,Wheatland County,2011,Pigs (number of),26765.0
4805012,Wheatland County,2016,Pigs (number of),94798.0
4807019,Stettler County No. 6,2001,Pigs (number of),0.0
4807019,Stettler County No. 6,2006,Pigs (number of),59299.0
4807019,Stettler County No. 6,2011,Pigs (number of),50158.0
4807019,Stettler County No. 6,2016,Pigs (number of),37061.0
4807019,Stettler County No. 6,2021,Pigs (number of),64822.0
4808022,Lacombe County,2021,Pigs (number of),122294.0
4808022,Lacombe County,2001,Pigs (number of),0.0
4808022,Lacombe County,2006,Pigs (number of),203665.0
4808022,Lacombe County,2011,Pigs (number of),93684.0
4808022,Lacombe County,2016,Pigs (number of),83494.0
4807031,Flagstaff County,2001,Pigs (number of),0.0
4807031,Flagstaff County,2006,Pigs (number of),0.0
4807031,Flagstaff County,2011,Pigs (number of),0.0
4807031,Flagstaff County,2016,Pigs (number of),0.0
4807031,Flagstaff County,2021,Pigs (number of),14643.0
4807011,Paintearth County No. 18,2016,Pigs (number of),21202.0
4807011,Paintearth County No. 18,2001,Pigs (number of),0.0
4807011,Paintearth County No. 18,2006,Pigs (number of),31364.0
4807011,Paintearth County No. 18,2011,Pigs (number of),25837.0
4807011,Paintearth County No. 18,2021,Pigs (number of),0.0
4810001,Camrose County,2001,Pigs (number of),0.0
4810001,Camrose County,2006,Pigs (number of),26696.0
4810001,Camrose County,2011,Pigs (number of),15387.0
4810001,Camrose County,2016,Pigs (number of),15456.0
4810001,Camrose County,2021,Pigs (number of),23533.0
4811061,Edmonton,2011,Pigs (number of),0.0
4811061,Edmonton,2001,Pigs (number of),0.0
4811061,Edmonton,2006,Pigs (number of),0.0
4811061,Edmonton,2016,Pigs (number of),0.0
4811061,Edmonton,2021,Pigs (number of),0.0
4803001,Cardston County,2001,Pigs (number of),0.0
4803001,Cardston County,2006,Pigs (number of),46336.0
4803001,Cardston County,2011,Pigs (number of),63489.0
4803001,Cardston County,2016,Pigs (number of),51318.0
4803001,Cardston County,2021,Pigs (number of),52610.0
4802031,Newell County,2021,Pigs (number of),39648.0
4802031,Newell County,2001,Pigs (number of),0.0
4802031,Newell County,2006,Pigs (number of),37841.0
4802031,Newell County,2011,Pigs (number of),23656.0
4802031,Newell County,2016,Pigs (number of),37470.0
4808038,Ponoka County,2001,Pigs (number of),0.0
4808038,Ponoka County,2006,Pigs (number of),69480.0
4808038,Ponoka County,2011,Pigs (number of),57583.0
4808038,Ponoka County,2021,Pigs (number of),0.0
4808038,Ponoka County,2016,Pigs (number of),38085.0
4812037,Lac la Biche County,2016,Pigs (number of),40.0
4812037,Lac la Biche County,2001,Pigs (number of),0.0
4812037,Lac la Biche County,2006,Pigs (number of),182.0
4812037,Lac la Biche County,2011,Pigs (number of),29.0
4812037,Lac la Biche County,2021,Pigs (number of),0.0
4809002,Clearwater County,2001,Pigs (number of),0.0
4809002,Clearwater County,2006,Pigs (number of),20896.0
4809002,Clearwater County,2011,Pigs (number of),19646.0
4809002,Clearwater County,2021,Pigs (number of),0.0
4809002,Clearwater County,2016,Pigs (number of),7853.0
4810026,Minburn County No. 27,2016,Pigs (number of),9699.0
4810026,Minburn County No. 27,2001,Pigs (number of),0.0
4810026,Minburn County No. 27,2006,Pigs (number of),15080.0
4810026,Minburn County No. 27,2011,Pigs (number of),8159.0
4810026,Minburn County No. 27,2021,Pigs (number of),0.0
4813028,Westlock County,2001,Pigs (number of),0.0
4813028,Westlock County,2006,Pigs (number of),50965.0
4813028,Westlock County,2011,Pigs (number of),31621.0
4813028,Westlock County,2016,Pigs (number of),32300.0
4813028,Westlock County,2021,Pigs (number of),14847.0
4813029,Woodlands County,2006,Pigs (number of),319.0
4813029,Woodlands County,2001,Pigs (number of),0.0
4813029,Woodlands County,2011,Pigs (number of),0.0
4813029,Woodlands County,2016,Pigs (number of),0.0
4813029,Woodlands County,2021,Pigs (number of),0.0
4813018,Barrhead County No. 11,2001,Pigs (number of),0.0
4813018,Barrhead County No. 11,2006,Pigs (number of),65894.0
4813018,Barrhead County No. 11,2011,Pigs (number of),31029.0
4813018,Barrhead County No. 11,2016,Pigs (number of),21246.0
4813018,Barrhead County No. 11,2021,Pigs (number of),9566.0
4810016,Beaver County,2021,Pigs (number of),18395.0
4810016,Beaver County,2001,Pigs (number of),0.0
4810016,Beaver County,2006,Pigs (number of),26671.0
4810016,Beaver County,2011,Pigs (number of),38826.0
4810016,Beaver County,2016,Pigs (number of),19002.0
4801008,Forty Mile County No. 8,2001,Pigs (number of),0.0
4801008,Forty Mile County No. 8,2006,Pigs (number of),48446.0
4801008,Forty Mile County No. 8,2011,Pigs (number of),31023.0
4801008,Forty Mile County No. 8,2016,Pigs (number of),0.0
4801008,Forty Mile County No. 8,2021,Pigs (number of),57843.0
4801003,Cypress County,2011,Pigs (number of),14497.0
4801003,Cypress County,2001,Pigs (number of),0.0
4801003,Cypress County,2006,Pigs (number of),28743.0
4801003,Cypress County,2016,Pigs (number of),0.0
4801003,Cypress County,2021,Pigs (number of),0.0
4803018,Willow Creek No. 26,2001,Pigs (number of),0.0
4803018,Willow Creek No. 26,2006,Pigs (number of),70747.0
4803018,Willow Creek No. 26,2011,Pigs (number of),32653.0
4803018,Willow Creek No. 26,2016,Pigs (number of),37357.0
4803018,Willow Creek No. 26,2021,Pigs (number of),37222.0
4802011,Lethbridge County,2021,Pigs (number of),116138.0
4802011,Lethbridge County,2001,Pigs (number of),0.0
4802011,Lethbridge County,2006,Pigs (number of),120020.0
4802011,Lethbridge County,2011,Pigs (number of),65673.0
4802011,Lethbridge County,2016,Pigs (number of),73161.0
4802021,"Taber, M.D.",2001,Pigs (number of),0.0
4802021,"Taber, M.D.",2006,Pigs (number of),110760.0
4802021,"Taber, M.D.",2011,Pigs (number of),82928.0
4802021,"Taber, M.D.",2016,Pigs (number of),73305.0
4802021,"Taber, M.D.",2021,Pigs (number of),78394.0
4803011,Pincher Creek No. 9,2021,Pigs (number of),20520.0
4803011,Pincher Creek No. 9,2001,Pigs (number of),0.0
4803011,Pincher Creek No. 9,2006,Pigs (number of),12831.0
4803011,Pincher Creek No. 9,2011,Pigs (number of),54909.0
4803011,Pincher Creek No. 9,2016,Pigs (number of),23988.0
4804004,Special Area No. 2,2001,Pigs (number of),0.0
4804004,Special Area No. 2,2011,Pigs (number of),0.0
4804004,Special Area No. 2,2016,Pigs (number of),0.0
4804004,Special Area No. 2,2021,Pigs (number of),0.0
4804004,Special Area No. 2,2006,Pigs (number of),60547.0
4804012,Special Area No. 3,2001,Pigs (number of),0.0
4804012,Special Area No. 3,2006,Pigs (number of),0.0
4804012,Special Area No. 3,2011,Pigs (number of),0.0
4804012,Special Area No. 3,2016,Pigs (number of),0.0
4804012,Special Area No. 3,2021,Pigs (number of),0.0
4804020,Special Area No. 4,2001,Pigs (number of),0.0
4804020,Special Area No. 4,2006,Pigs (number of),0.0
4804020,Special Area No. 4,2011,Pigs (number of),0.0
4804020,Special Area No. 4,2016,Pigs (number of),0.0
4804020,Special Area No. 4,2021,Pigs (number of),0.0
4805001,Vulcan County,2001,Pigs (number of),0.0
4805001,Vulcan County,2006,Pigs (number of),68745.0
4805001,Vulcan County,2011,Pigs (number of),57764.0
4805001,Vulcan County,2016,Pigs (number of),86773.0
4805001,Vulcan County,2021,Pigs (number of),51644.0
4806001,Foothills County,2001,Pigs (number of),0.0
4806001,Foothills County,2006,Pigs (number of),0.0
4806001,Foothills County,2011,Pigs (number of),0.0
4806001,Foothills County,2016,Pigs (number of),0.0
4806001,Foothills County,2021,Pigs (number of),0.0
4806014,Rocky View County,2001,Pigs (number of),0.0
4806014,Rocky View County,2006,Pigs (number of),37625.0
4806014,Rocky View County,2011,Pigs (number of),17182.0
4806014,Rocky View County,2016,Pigs (number of),37400.0
4806014,Rocky View County,2021,Pigs (number of),23190.0
4806016,Calgary,2011,Pigs (number of),0.0
4806016,Calgary,2001,Pigs (number of),0.0
4806016,Calgary,2006,Pigs (number of),0.0
4806016,Calgary,2016,Pigs (number of),0.0
4806016,Calgary,2021,Pigs (number of),0.0
4806028,Mountain View County,2001,Pigs (number of),0.0
4806028,Mountain View County,2011,Pigs (number of),0.0
4806028,Mountain View County,2016,Pigs (number of),0.0
4806028,Mountain View County,2021,Pigs (number of),0.0
4806028,Mountain View County,2006,Pigs (number of),12938.0
4807001,Provost No. 52,2001,Pigs (number of),0.0
4807001,Provost No. 52,2006,Pigs (number of),0.0
4807001,Provost No. 52,2011,Pigs (number of),0.0
4807001,Provost No. 52,2016,Pigs (number of),0.0
4807001,Provost No. 52,2021,Pigs (number of),0.0
4819041,Smoky River No. 130,2001,Pigs (number of),0.0
4819041,Smoky River No. 130,2006,Pigs (number of),0.0
4819041,Smoky River No. 130,2011,Pigs (number of),0.0
4819041,Smoky River No. 130,2016,Pigs (number of),0.0
4819041,Smoky River No. 130,2021,Pigs (number of),89037.0
4810036,Vermilion River County,2021,Pigs (number of),39123.0
4810036,Vermilion River County,2001,Pigs (number of),0.0
4810036,Vermilion River County,2006,Pigs (number of),34702.0
4810036,Vermilion River County,2011,Pigs (number of),19480.0
4810036,Vermilion River County,2016,Pigs (number of),0.0
4817026,Northern Sunrise County,2001,Pigs (number of),0.0
4817026,Northern Sunrise County,2006,Pigs (number of),0.0
4817026,Northern Sunrise County,2011,Pigs (number of),0.0
4817026,Northern Sunrise County,2016,Pigs (number of),0.0
4817026,Northern Sunrise County,2021,Pigs (number of),0.0
4817027,Big Lakes County,2001,Pigs (number of),0.0
4817027,Big Lakes County,2006,Pigs (number of),2181.0
4817027,Big Lakes County,2011,Pigs (number of),2855.0
4817027,Big Lakes County,2021,Pigs (number of),0.0
4817027,Big Lakes County,2016,Pigs (number of),76.0
4813001,Lac Ste. Anne County,2006,Pigs (number of),12612.0
4813001,Lac Ste. Anne County,2001,Pigs (number of),0.0
4813001,Lac Ste. Anne County,2011,Pigs (number of),0.0
4813001,Lac Ste. Anne County,2016,Pigs (number of),0.0
4813001,Lac Ste. Anne County,2021,Pigs (number of),0.0
4819049,Birch Hills County,2001,Pigs (number of),0.0
4819049,Birch Hills County,2006,Pigs (number of),0.0
4819049,Birch Hills County,2011,Pigs (number of),23621.0
4819049,Birch Hills County,2016,Pigs (number of),16829.0
4819049,Birch Hills County,2021,Pigs (number of),20081.0
4819054,Spirit River No. 133,2016,Pigs (number of),16.0
4819054,Spirit River No. 133,2001,Pigs (number of),0.0
4819054,Spirit River No. 133,2006,Pigs (number of),0.0
