Unique CSD,Unique Year,Combined Key,Adjusted Air Quality Health Index,Both Sexes Life Expectancy (Years),Population
Red Deer,2011,Red Deer2011,2.74906,79.96,75553
Red Deer,2012,Red Deer2012,2.4325,80,77674
Red Deer,2013,Red Deer2013,2.54466,80.17,79180
Red Deer,2014,Red Deer2014,2.23417,80.2,80290
Red Deer,2015,Red Deer2015,2.26231,80.37,80049
Red Deer,2016,Red Deer2016,1.90006,80.61,79040
Red Deer,2017,Red Deer2017,2.26275,80.7,78641
Red Deer,2018,Red Deer2018,2.66485,80.74,78301
Red Deer,2019,Red Deer2019,2.32946,80.83,77814
Red Deer,2020,Red Deer2020,2.23237,80.8,76885
Red Deer,2021,Red Deer2021,2.36964,80.67,75750
Red Deer,2022,Red Deer2022,2.35551,80.58,75594
Fort Saskatchewan,2011,Fort Saskatchewan2011,2.41379,81.15,15796
Fort Saskatchewan,2012,Fort Saskatchewan2012,2.1828,81.22,16729
Fort Saskatchewan,2013,Fort Saskatchewan2013,2.2322,81.26,17596
Fort Saskatchewan,2014,Fort Saskatchewan2014,2.31395,81.16,18166
Fort Saskatchewan,2015,Fort Saskatchewan2015,2.3068,81.23,18654
Fort Saskatchewan,2016,Fort Saskatchewan2016,2.16759,81.38,19622
Fort Saskatchewan,2017,Fort Saskatchewan2017,2.35769,81.57,20289
Fort Saskatchewan,2018,Fort Saskatchewan2018,2.67891,81.7,20592
Fort Saskatchewan,2019,Fort Saskatchewan2019,2.33533,81.99,20862
Fort Saskatchewan,2020,Fort Saskatchewan2020,2.19004,81.94,20967
Fort Saskatchewan,2021,Fort Saskatchewan2021,2.47241,81.94,21555
Fort Saskatchewan,2022,Fort Saskatchewan2022,2.58471,81.71,21654
Edmonton,2011,Edmonton2011,2.89097,80.89,667599
Edmonton,2012,Edmonton2012,2.7252,81.04,680682
Edmonton,2013,Edmonton2013,2.834,81.16,699930
Edmonton,2014,Edmonton2014,2.66672,81.29,721455
Edmonton,2015,Edmonton2015,2.68302,81.43,733854
Edmonton,2016,Edmonton2016,2.48619,81.61,745502
Edmonton,2017,Edmonton2017,2.68307,81.73,755132
Edmonton,2018,Edmonton2018,2.88331,81.83,766512
Edmonton,2019,Edmonton2019,2.58848,81.96,779839
Edmonton,2020,Edmonton2020,2.42881,81.85,790344
Edmonton,2021,Edmonton2021,2.67501,81.74,789317
Edmonton,2022,Edmonton2022,2.67972,81.6,802850
Lethbridge,2011,Lethbridge2011,2.49049,80.69,64751
Lethbridge,2012,Lethbridge2012,2.4086,80.8,65725
Lethbridge,2013,Lethbridge2013,2.38762,80.91,66344
Lethbridge,2014,Lethbridge2014,2.38187,80.81,67905
Lethbridge,2015,Lethbridge2015,2.50017,81.03,67729
Lethbridge,2016,Lethbridge2016,2.15808,80.95,69049
Lethbridge,2017,Lethbridge2017,2.46196,80.94,69669
Lethbridge,2018,Lethbridge2018,2.60505,81.11,70721
Lethbridge,2019,Lethbridge2019,2.2355,81.25,71752
Lethbridge,2020,Lethbridge2020,2.23214,81.2,72695
Lethbridge,2021,Lethbridge2021,2.43529,81.14,72036
Lethbridge,2022,Lethbridge2022,2.29373,81.03,73181
Newell County,2021,Newell County2021,2.11121,81.14,5410
Newell County,2022,Newell County2022,2.04479,80.8,5402
Caroline,2011,Caroline2011,2.10273,78.55,355
Caroline,2012,Caroline2012,2.06554,78.46,340
Caroline,2013,Caroline2013,2.12507,78.4,346
Caroline,2014,Caroline2014,2.08402,78.52,343
Caroline,2015,Caroline2015,2.08464,78.71,344
Caroline,2016,Caroline2016,1.94013,78.81,349
