CSDUID,CSD,Period,CH4 Equivalent (t),CO2 Equivalent (t),N2O Equivalent (t)
4801003,Cypress County,2004,25774.24966,428901.0228,4106.44
4801003,Cypress County,2005,3822.50005,171155.5,2652.2
4801003,Cypress County,2006,4104.99993,367230.4,2235.0
4801003,Cypress County,2007,4544.00005,350541.8163,1666.118
4801003,Cypress County,2008,4611.50013,374139.2797,1752.24
4801003,Cypress County,2009,71910.40246,630838.7504,3780.428
4801003,Cypress County,2010,59204.13734,535794.5311,3225.5222
4801003,Cypress County,2011,55876.59753,516219.3346,3290.0094
4801003,Cypress County,2012,27743.38595,385552.6576,1851.87272
4801003,Cypress County,2013,27142.10821,431800.7341,2050.08802
4801003,Cypress County,2014,27674.79466,507097.536,2663.78415
4801003,Cypress County,2015,21193.17793,458340.1808,2539.8838
4801003,Cypress County,2016,17125.931,397941.7664,2043.55377
4801003,Cypress County,2017,139733.3025,730566.3102,5252.05302
4801003,Cypress County,2018,120711.3875,638994.1917,6512.4026
4801003,Cypress County,2019,148640.7591,643379.5152,6766.59779
4801003,Cypress County,2020,171662.4099,612871.5551,11970.45021
4801003,Cypress County,2021,145875.2055,671859.3315,12034.42008
4801006,Medicine Hat,2004,4685.0125,2002315.0,8948.9403
4801006,Medicine Hat,2005,4593.4,1802497.7,8547.4744
4801006,Medicine Hat,2006,940.75003,2049050.773,8981.72
4801006,Medicine Hat,2007,6456.45763,2011511.132,7203.6434
4801006,Medicine Hat,2008,6551.26235,2098346.574,7774.1346
4801006,Medicine Hat,2009,5751.775,1811528.092,7026.542
4801006,Medicine Hat,2010,6029.09258,1971640.607,7721.1502
4801006,Medicine Hat,2011,7598.1956,2319163.46,41872.19456
4801006,Medicine Hat,2012,20680.85301,2445736.666,9523.9611
4801006,Medicine Hat,2013,6838.30255,2581635.154,9864.0685
4801006,Medicine Hat,2014,7698.08503,2371228.364,9538.6823
4801006,Medicine Hat,2015,7142.19245,2599706.751,9837.2777
4801006,Medicine Hat,2016,11284.75745,2413455.568,9561.8959
4801006,Medicine Hat,2017,10868.445,2410431.154,10033.5706
4801006,Medicine Hat,2018,12210.89,2973207.437,10677.95388
4801006,Medicine Hat,2019,12561.9525,2858455.699,12590.18412
4801006,Medicine Hat,2020,10388.1875,2699984.988,11501.0418
4801006,Medicine Hat,2021,9180.18165,3096118.801,11048.8864
4801008,Forty Mile County No. 8,2004,0.0,0.0,0.0
4801008,Forty Mile County No. 8,2005,0.0,0.0,0.0
4801008,Forty Mile County No. 8,2006,0.0,0.0,0.0
4801008,Forty Mile County No. 8,2007,0.0,0.0,0.0
4801008,Forty Mile County No. 8,2008,0.0,0.0,0.0
4801008,Forty Mile County No. 8,2009,0.0,0.0,0.0
4801008,Forty Mile County No. 8,2010,0.0,0.0,0.0
4801008,Forty Mile County No. 8,2011,0.0,0.0,0.0
4801008,Forty Mile County No. 8,2012,0.0,0.0,0.0
4801008,Forty Mile County No. 8,2013,0.0,0.0,0.0
4801008,Forty Mile County No. 8,2014,0.0,0.0,0.0
4801008,Forty Mile County No. 8,2015,0.0,0.0,0.0
4801008,Forty Mile County No. 8,2016,0.0,0.0,0.0
4801008,Forty Mile County No. 8,2017,5.31,10722.7,56.2028
4801008,Forty Mile County No. 8,2018,464.2625,17446.9683,105.194
4801008,Forty Mile County No. 8,2019,2403.70983,18303.16512,120.79698
4801008,Forty Mile County No. 8,2020,1582.0908,10196.50549,79.62947
4801008,Forty Mile County No. 8,2021,3371.644,18319.533,345.9035
4801009,Foremost,2004,0.0,0.0,0.0
4801009,Foremost,2005,0.0,0.0,0.0
4801009,Foremost,2006,0.0,0.0,0.0
4801009,Foremost,2007,0.0,0.0,0.0
4801009,Foremost,2008,0.0,0.0,0.0
4801009,Foremost,2009,0.0,0.0,0.0
4801009,Foremost,2010,0.0,0.0,0.0
4801009,Foremost,2011,0.0,0.0,0.0
4801009,Foremost,2012,0.0,0.0,0.0
4801009,Foremost,2013,0.0,0.0,0.0
4801009,Foremost,2014,0.0,0.0,0.0
4801009,Foremost,2015,0.0,0.0,0.0
4801009,Foremost,2016,0.0,0.0,0.0
4801009,Foremost,2017,0.0,0.0,0.0
4801009,Foremost,2018,0.0,0.0,0.0
4801009,Foremost,2019,0.0,0.0,0.0
4801009,Foremost,2020,0.0,0.0,0.0
4801009,Foremost,2021,0.0,0.0,0.0
4801014,Bow Island,2004,0.0,0.0,0.0
4801014,Bow Island,2005,0.0,0.0,0.0
4801014,Bow Island,2006,0.0,0.0,0.0
4801014,Bow Island,2007,0.0,0.0,0.0
4801014,Bow Island,2008,0.0,0.0,0.0
4801014,Bow Island,2009,0.0,0.0,0.0
4801014,Bow Island,2010,0.0,0.0,0.0
4801014,Bow Island,2011,0.0,0.0,0.0
4801014,Bow Island,2012,0.0,0.0,0.0
4801014,Bow Island,2013,0.0,0.0,0.0
4801014,Bow Island,2014,0.0,0.0,0.0
4801014,Bow Island,2015,0.0,0.0,0.0
4801014,Bow Island,2016,0.0,0.0,0.0
4801014,Bow Island,2017,0.0,0.0,0.0
4801014,Bow Island,2018,0.0,0.0,0.0
4801014,Bow Island,2019,0.0,0.0,0.0
4801014,Bow Island,2020,0.0,0.0,0.0
4801014,Bow Island,2021,0.0,0.0,0.0
4801018,Redcliff,2004,0.0,0.0,0.0
4801018,Redcliff,2005,0.0,0.0,0.0
4801018,Redcliff,2006,0.0,0.0,0.0
4801018,Redcliff,2007,0.0,0.0,0.0
4801018,Redcliff,2008,0.0,0.0,0.0
4801018,Redcliff,2009,0.0,0.0,0.0
4801018,Redcliff,2010,0.0,0.0,0.0
4801018,Redcliff,2011,0.0,0.0,0.0
4801018,Redcliff,2012,0.0,0.0,0.0
4801018,Redcliff,2013,0.0,0.0,0.0
4801018,Redcliff,2014,0.0,0.0,0.0
4801018,Redcliff,2015,0.0,0.0,0.0
4801018,Redcliff,2016,0.0,0.0,0.0
4801018,Redcliff,2017,0.0,0.0,0.0
4801018,Redcliff,2018,0.0,0.0,0.0
4801018,Redcliff,2019,0.0,0.0,0.0
4801018,Redcliff,2020,0.0,0.0,0.0
4801018,Redcliff,2021,0.0,0.0,0.0
4802001,Warner County No. 5,2004,0.0,0.0,0.0
4802001,Warner County No. 5,2005,0.0,0.0,0.0
4802001,Warner County No. 5,2006,0.0,0.0,0.0
4802001,Warner County No. 5,2007,0.0,0.0,0.0
4802001,Warner County No. 5,2008,0.0,0.0,0.0
4802001,Warner County No. 5,2009,68124.99903,682.0,83.44
4802001,Warner County No. 5,2010,84226.0,658.0,74.5
4802001,Warner County No. 5,2011,75225.75,1048.0,119.2
4802001,Warner County No. 5,2012,65200.75,517.0,11.92
4802001,Warner County No. 5,2013,78475.75,520.0,8.22778
4802001,Warner County No. 5,2014,66750.75,520.0,8.94
4802001,Warner County No. 5,2015,67850.75,552.0,5.96
4802001,Warner County No. 5,2016,69600.75,519.0,59.6
4802001,Warner County No. 5,2017,92409.825,74078.8098,2454.5068
4802001,Warner County No. 5,2018,96670.31,72830.168,3393.0578
4802001,Warner County No. 5,2019,90237.345,38457.3862,1233.869
4802001,Warner County No. 5,2020,91147.5325,50595.373,1310.8722
4802001,Warner County No. 5,2021,96973.05575,73987.69924,3909.32194
4802002,Coutts,2004,0.0,0.0,0.0
4802002,Coutts,2005,0.0,0.0,0.0
4802002,Coutts,2006,0.0,0.0,0.0
4802002,Coutts,2007,0.0,0.0,0.0
4802002,Coutts,2008,0.0,0.0,0.0
4802002,Coutts,2009,0.0,0.0,0.0
4802002,Coutts,2010,0.0,0.0,0.0
4802002,Coutts,2011,0.0,0.0,0.0
4802002,Coutts,2012,0.0,0.0,0.0
4802002,Coutts,2013,0.0,0.0,0.0
4802002,Coutts,2014,0.0,0.0,0.0
4802002,Coutts,2015,0.0,0.0,0.0
4802002,Coutts,2016,0.0,0.0,0.0
