CSDUID,CSD,Period,Natural Gas Production (m^3)
4805026,Drumheller,2003,104493.2
4805026,Drumheller,2004,105486.4
4805026,Drumheller,2005,130930.0
4805026,Drumheller,2006,128564.0
4805026,Drumheller,2007,124354.0
4805026,Drumheller,2008,107045.4
4805026,Drumheller,2009,105952.6
4805026,Drumheller,2010,91795.7
4805026,Drumheller,2011,84747.1
4805026,Drumheller,2012,70629.2
4805026,Drumheller,2013,63666.5
4805026,Drumheller,2014,58207.0
4805026,Drumheller,2015,52249.0
4805026,Drumheller,2016,52705.7
4805026,Drumheller,2017,53841.5
4805026,Drumheller,2018,45710.9
4805026,Drumheller,2019,48076.6
4805026,Drumheller,2020,50547.4
4805026,Drumheller,2021,54286.5
4805026,Drumheller,2022,52454.7
4805026,Drumheller,2023,74020.9
4805031,Starland County,2023,373968.7
4805031,Starland County,2003,937284.5
4805031,Starland County,2004,1080877.2
4805031,Starland County,2005,1227728.0
4805031,Starland County,2006,1436376.0
4805031,Starland County,2007,1421712.0
4805031,Starland County,2008,1289980.0
4805031,Starland County,2009,1188094.0
4805031,Starland County,2010,1063121.9
4805031,Starland County,2011,949918.8
4805031,Starland County,2012,860260.1
4805031,Starland County,2013,805825.5
4805031,Starland County,2014,759487.3
4805031,Starland County,2015,714994.6
4805031,Starland County,2016,662882.6
4805031,Starland County,2017,642743.0
4805031,Starland County,2018,562042.6
4805031,Starland County,2019,353518.2
4805031,Starland County,2020,341682.9
4805031,Starland County,2021,426781.8
4805031,Starland County,2022,426395.5
4805041,Kneehill County,2003,2733819.1
4805041,Kneehill County,2004,2640148.1
4805041,Kneehill County,2005,2804363.0
4805041,Kneehill County,2006,3244827.0
4805041,Kneehill County,2007,4042910.0
4805041,Kneehill County,2008,4036484.1
4805041,Kneehill County,2009,4175446.9
4805041,Kneehill County,2010,3896734.3
4805041,Kneehill County,2011,3740434.3
4805041,Kneehill County,2012,3346976.4
4805041,Kneehill County,2013,3517555.0
4805041,Kneehill County,2014,3315932.8
4805041,Kneehill County,2015,2847817.4
4805041,Kneehill County,2016,2790904.1
4805041,Kneehill County,2017,2620111.9
4805041,Kneehill County,2018,2452892.3
4805041,Kneehill County,2019,2208505.2
4805041,Kneehill County,2020,2087454.9
4805041,Kneehill County,2021,2536001.7
4805041,Kneehill County,2022,2325108.4
4805041,Kneehill County,2023,1857801.1
4802001,Warner County No. 5,2023,318272.4
4802001,Warner County No. 5,2003,287307.7
4802001,Warner County No. 5,2004,333169.9
4802001,Warner County No. 5,2005,272485.0
4802001,Warner County No. 5,2006,235071.0
4802001,Warner County No. 5,2007,187894.0
4802001,Warner County No. 5,2008,141761.7
4802001,Warner County No. 5,2009,121447.8
4802001,Warner County No. 5,2010,105293.1
4802001,Warner County No. 5,2011,81705.0
4802001,Warner County No. 5,2012,78897.2
4802001,Warner County No. 5,2013,84459.9
4802001,Warner County No. 5,2014,100252.3
4802001,Warner County No. 5,2015,105691.6
4802001,Warner County No. 5,2016,135583.0
4802001,Warner County No. 5,2017,227342.0
4802001,Warner County No. 5,2018,229669.1
4802001,Warner County No. 5,2019,156978.0
4802001,Warner County No. 5,2020,200245.7
4802001,Warner County No. 5,2021,235377.7
