CSDUID,CSD,Period,IndicatorSummaryDescription,Structural Type,UnitOfMeasure,OriginalValue
4807044,Sedgewick,2001,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,25
4807044,Sedgewick,2006,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,40
4807044,Sedgewick,2011,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,20
4807044,Sedgewick,2016,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,15
4807044,Sedgewick,2021,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,30
4807046,Lougheed,2001,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4807046,Lougheed,2006,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,10
4807046,Lougheed,2011,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4807046,Lougheed,2016,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,5
4807046,Lougheed,2021,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4808011,Red Deer,2001,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,5640
4808011,Red Deer,2006,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,7285
4808011,Red Deer,2011,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,7340
4808011,Red Deer,2016,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,8415
4808011,Red Deer,2021,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,8495
4805018,Strathmore,2001,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,270
4805018,Strathmore,2006,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,450
4805018,Strathmore,2011,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,505
4805018,Strathmore,2016,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,650
4805018,Strathmore,2021,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,735
4805019,Hussar,2001,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4805019,Hussar,2006,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4805019,Hussar,2011,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4805019,Hussar,2016,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4805019,Hussar,2021,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4805021,Standard,2001,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4805021,Standard,2006,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,10
4805021,Standard,2011,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,5
4805021,Standard,2016,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4805021,Standard,2021,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4805022,Rockyford,2001,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,15
4805022,Rockyford,2006,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,10
4805022,Rockyford,2011,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4805022,Rockyford,2016,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,15
4805022,Rockyford,2021,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4805026,Drumheller,2001,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,305
4805026,Drumheller,2006,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,335
4805026,Drumheller,2011,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,350
4805026,Drumheller,2016,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,335
4805026,Drumheller,2021,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,375
4805031,Starland County,2001,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4805031,Starland County,2006,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4805031,Starland County,2011,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,5
