Municipality,Year,Sum_firesize,Count_fires
Athabasca County,2016,10.1,2
Big Lakes County,2017,12.4,1
Brazeau County,2013,14.7,3
Census Division No. 9,2013,21,3
Clear Hills County,2017,21.9,5
Clearwater County,2016,23.8,3
County of Grande Prairie,2016,23.9,1
County of Northern Lights,2012,25.11,1
County of Wetaskiwin,2015,27.8,1
Kananaskis Improvement District,2016,27.8,2
Lac La Biche County,2014,43.4,1
Mackenzie County,2012,48.5,0
Mountain View County,2016,66,2
Municipal District of Bighorn,2016,66,2
Municipal District of Bonnyville,2016,66,2
Municipal District of Greenview,2015,66,3
Municipal District of Lesser Slave River,2012,73.9,1
Municipal District of Opportunity,2012,73.9,6
Municipal District of Pincher Creek No. 9,2016,77.4,1
Municipal District of Ranchland No. 66,2012,134.9,9
Municipal District of Smoky River,2014,134.9,9
Northern Sunrise County,2013,137.8,1
Ponoka County,2012,153,0
Saddle Hills County,2014,157.8,1
Wood Buffalo,2016,169.13,3
Woodlands County,2014,223.2,2
Yellowhead County,2014,244.2,1
Athabasca County,2014,244.2,1
Big Lakes County,2015,264.4,3
Brazeau County,2012,357,1
Census Division No. 9,2014,705.8,1
Clear Hills County,2015,705.8,5
Clearwater County,2017,755.6,1
County of Grande Prairie,2015,759.2,1
County of Northern Lights,2015,759.2,1
County of Wetaskiwin,2012,1037.4,1
Kananaskis Improvement District,2017,1476.78,1
Lac La Biche County,2012,1610.5,2
Mackenzie County,2013,1790.49,1
Mountain View County,2012,2755.3,2
Municipal District of Bighorn,2017,2755.3,2
Municipal District of Bonnyville,2017,2755.3,2
Municipal District of Greenview,2013,2889.6,8
Municipal District of Lesser Slave River,2013,2889.6,8
Municipal District of Opportunity,2016,2889.6,8
Municipal District of Pincher Creek No. 9,2016,2889.6,8
Municipal District of Ranchland No. 66,2012,2889.6,23
Municipal District of Smoky River,2012,5233.09,2
Northern Sunrise County,2014,5233.09,5
Ponoka County,2013,5817.4,3
Saddle Hills County,2014,5817.4,3
Wood Buffalo,2015,5817.4,3
Woodlands County,2017,5817.4,3
Yellowhead County,2015,6918.65,5
Athabasca County,2013,8984.3,1
Big Lakes County,2013,8984.3,1
Brazeau County,2013,8984.3,1
Census Division No. 9,2016,8984.3,1
Clear Hills County,2017,8984.3,1
Clearwater County,2016,11564.6,1
County of Grande Prairie,2013,13338.06,1
County of Northern Lights,2017,17250.6,5
County of Wetaskiwin,2014,18189,0
Kananaskis Improvement District,2015,18189,0
Lac La Biche County,2015,18189,0
Mackenzie County,2012,19754.98,3
Mountain View County,2013,19754.98,3
Municipal District of Bighorn,2014,19754.98,3
Municipal District of Bonnyville,2015,19754.98,3
Municipal District of Greenview,2016,19754.98,3
Municipal District of Lesser Slave River,2017,19754.98,3
Municipal District of Opportunity,2016,22061.8,8
Municipal District of Pincher Creek No. 9,2013,22061.8,27
Municipal District of Ranchland No. 66,2014,22061.8,33
Municipal District of Smoky River,2015,27031.45,0
Northern Sunrise County,2014,32540.29,0
Ponoka County,2015,32540.29,0
Saddle Hills County,2013,43940.8,1
Wood Buffalo,2013,43940.8,1
Woodlands County,2012,43940.8,4
Yellowhead County,2012,43940.8,4
Athabasca County,2016,43940.8,4
Big Lakes County,2016,43940.8,4
Brazeau County,2012,43940.8,5
Census Division No. 9,2013,43940.8,5
Clear Hills County,2014,43940.8,5
Clearwater County,2014,43940.8,5
County of Grande Prairie,2014,43940.8,5
County of Northern Lights,2014,43940.8,5
County of Wetaskiwin,2016,43940.8,5
Kananaskis Improvement District,2016,43940.8,5
Lac La Biche County,2013,43940.8,8
Mackenzie County,2012,43940.8,11
Mountain View County,2012,51574.4,3
Municipal District of Bighorn,2013,51574.4,3
Municipal District of Bonnyville,2013,51574.4,3
Municipal District of Greenview,2015,51574.4,3
Municipal District of Lesser Slave River,2014,51574.4,9
Municipal District of Opportunity,2015,51574.4,9
Municipal District of Pincher Creek No. 9,2016,51574.4,9
Municipal District of Ranchland No. 66,2016,51574.4,9
Municipal District of Smoky River,2017,51574.4,9
Northern Sunrise County,2017,51574.4,9
Ponoka County,2017,55427.33,7
Saddle Hills County,2017,60193.44,5
Wood Buffalo,2017,60193.44,5
Woodlands County,2017,87618,3
Yellowhead County,2015,87618,0
Athabasca County,2012,149898.15,11
Big Lakes County,2014,149898.15,11
Brazeau County,2015,149898.15,11
Census Division No. 9,2017,149898.15,11
Clear Hills County,2012,224308.9,3
Clearwater County,2012,371716.1,24
County of Grande Prairie,2013,371716.1,24
County of Northern Lights,2014,371716.1,24
County of Wetaskiwin,2016,371716.1,24
Kananaskis Improvement District,2017,371716.1,24
Lac La Biche County,2015,371716.1,41
Mackenzie County,2012,577721.79,23
Mountain View County,2012,577721.79,23
Municipal District of Bighorn,2014,577721.79,33
Municipal District of Bonnyville,2014,577721.79,33
Municipal District of Greenview,2015,577721.79,33
Municipal District of Lesser Slave River,2015,577721.79,33
Municipal District of Opportunity,2015,577721.79,33
Municipal District of Pincher Creek No. 9,2017,577721.79,33
Municipal District of Ranchland No. 66,2017,577721.79,33
Municipal District of Smoky River,2017,577721.79,33
Northern Sunrise County,2015,1621.5900000000001,5
Ponoka County,2015,1621.5900000000001,5
Saddle Hills County,2015,1621.5900000000001,5
Wood Buffalo,2013,27.599999999999998,2
Woodlands County,2016,39.099999999999994,2
Yellowhead County,2017,51.900000000000006,7
Athabasca County,2015,57397.869999999995,3
Big Lakes County,2013,57397.869999999995,6
Brazeau County,2014,57397.869999999995,6
Census Division No. 9,2016,57397.869999999995,6
Clear Hills County,2017,57397.869999999995,6
Clearwater County,2014,0,1
County of Grande Prairie,2015,0,1
County of Northern Lights,2012,0,2
County of Wetaskiwin,2013,0,2
Kananaskis Improvement District,2013,0,3
Lac La Biche County,2012,0,4
Mackenzie County,2012,0,0
Mountain View County,2012,0,0
Municipal District of Bighorn,2013,0,0
Municipal District of Bonnyville,2013,0,0
Municipal District of Greenview,2013,0,0
Municipal District of Lesser Slave River,2014,0,0
Municipal District of Opportunity,2014,0,0
Municipal District of Pincher Creek No. 9,2014,0,0
Municipal District of Ranchland No. 66,2015,0,0
Municipal District of Smoky River,2016,0,0
Northern Sunrise County,2016,0,0
Ponoka County,2016,0,0
Saddle Hills County,2017,0,0
Wood Buffalo,2017,0,0
Woodlands County,2017,0,0
Yellowhead County,2017,0,0
Athabasca County,2018,0,0
Big Lakes County,2018,0,0
Brazeau County,2018,0,0
Census Division No. 9,2018,0,0
Clear Hills County,2018,0,0
Clearwater County,2018,0,0
County of Grande Prairie,2018,0,0
County of Northern Lights,2018,0,0
County of Wetaskiwin,2018,0,0
Kananaskis Improvement District,2018,0,0
Lac La Biche County,2018,0,0
Mackenzie County,2018,0,0
Mountain View County,2018,0,0
Municipal District of Bighorn,2018,0,0
Municipal District of Bonnyville,2018,0,0
Municipal District of Greenview,2018,0,0
Municipal District of Lesser Slave River,2018,0,0
Municipal District of Opportunity,2018,0,0
Municipal District of Pincher Creek No. 9,2018,0,0
Municipal District of Ranchland No. 66,2018,0,0
Municipal District of Smoky River,2018,0,0
Northern Sunrise County,2018,0,0
Ponoka County,2018,0,0
Saddle Hills County,2018,0,0
Wood Buffalo,2018,0,0
Woodlands County,2018,0,0
Yellowhead County,2018,0,0
Athabasca County,2019,0,0
Big Lakes County,2019,0,0
Brazeau County,2019,0,0
Census Division No. 9,2019,0,0
Clear Hills County,2019,0,0
Clearwater County,2019,0,0
County of Grande Prairie,2019,0,0
County of Northern Lights,2019,0,0
County of Wetaskiwin,2019,0,0
Kananaskis Improvement District,2019,0,0
Lac La Biche County,2019,0,0
Mackenzie County,2019,0,0
Mountain View County,2019,0,0
Municipal District of Bighorn,2019,0,0
Municipal District of Bonnyville,2019,0,0
Municipal District of Greenview,2019,0,0
Municipal District of Lesser Slave River,2019,0,0
Municipal District of Opportunity,2019,0,0
Municipal District of Pincher Creek No. 9,2019,0,0
Municipal District of Ranchland No. 66,2019,0,0
Municipal District of Smoky River,2019,0,0
Northern Sunrise County,2019,0,0
Ponoka County,2019,0,0
Saddle Hills County,2019,0,0
