CSDUID,CSD,Period,IndicatorSummaryDescription,Crop Type,Count
4805031,Starland County,2006,Cropland (Acres),Canola,69750.0
4805031,Starland County,2011,Cropland (Acres),Canola,105159.0
4805031,Starland County,2016,Cropland (Acres),Canola,116519.0
4805031,Starland County,2021,Cropland (Acres),Canola,111193.0
4805041,Kneehill County,2006,Cropland (Acres),Canola,133570.0
4805041,Kneehill County,2011,Cropland (Acres),Canola,195722.0
4805041,Kneehill County,2016,Cropland (Acres),Canola,202121.0
4805041,Kneehill County,2021,Cropland (Acres),Canola,190675.0
4802001,Warner County No. 5,2006,Cropland (Acres),Canola,40073.0
4802001,Warner County No. 5,2011,Cropland (Acres),Canola,108563.0
4802001,Warner County No. 5,2016,Cropland (Acres),Canola,100211.0
4802001,Warner County No. 5,2021,Cropland (Acres),Canola,107154.0
4807049,Wainwright No. 61,2006,Cropland (Acres),Canola,83550.0
4807049,Wainwright No. 61,2011,Cropland (Acres),Canola,131156.0
4807049,Wainwright No. 61,2016,Cropland (Acres),Canola,159385.0
4807049,Wainwright No. 61,2021,Cropland (Acres),Canola,156561.0
4808001,Red Deer County,2006,Cropland (Acres),Canola,88992.0
4808001,Red Deer County,2011,Cropland (Acres),Canola,133735.0
4808001,Red Deer County,2016,Cropland (Acres),Canola,143988.0
4808001,Red Deer County,2021,Cropland (Acres),Canola,150464.0
4805012,Wheatland County,2006,Cropland (Acres),Canola,130052.0
4805012,Wheatland County,2011,Cropland (Acres),Canola,223051.0
4805012,Wheatland County,2016,Cropland (Acres),Canola,217644.0
4805012,Wheatland County,2021,Cropland (Acres),Canola,259984.0
4807019,Stettler County No. 6,2006,Cropland (Acres),Canola,79371.0
4807019,Stettler County No. 6,2011,Cropland (Acres),Canola,102088.0
4807019,Stettler County No. 6,2016,Cropland (Acres),Canola,106584.0
4807019,Stettler County No. 6,2021,Cropland (Acres),Canola,121724.0
4808022,Lacombe County,2006,Cropland (Acres),Canola,77614.0
4808022,Lacombe County,2011,Cropland (Acres),Canola,117265.0
4808022,Lacombe County,2016,Cropland (Acres),Canola,101977.0
4808022,Lacombe County,2021,Cropland (Acres),Canola,121069.0
4807031,Flagstaff County,2006,Cropland (Acres),Canola,179370.0
4807031,Flagstaff County,2011,Cropland (Acres),Canola,217256.0
4807031,Flagstaff County,2016,Cropland (Acres),Canola,233293.0
4807031,Flagstaff County,2021,Cropland (Acres),Canola,237312.0
4807011,Paintearth County No. 18,2006,Cropland (Acres),Canola,47743.0
4807011,Paintearth County No. 18,2011,Cropland (Acres),Canola,76064.0
4807011,Paintearth County No. 18,2016,Cropland (Acres),Canola,70944.0
4807011,Paintearth County No. 18,2021,Cropland (Acres),Canola,73116.0
4810001,Camrose County,2006,Cropland (Acres),Canola,178573.0
4810001,Camrose County,2011,Cropland (Acres),Canola,210204.0
4810001,Camrose County,2016,Cropland (Acres),Canola,216301.0
4810001,Camrose County,2021,Cropland (Acres),Canola,227769.0
4811061,Edmonton,2006,Cropland (Acres),Canola,12897.0
4811061,Edmonton,2011,Cropland (Acres),Canola,3487.0
4811061,Edmonton,2016,Cropland (Acres),Canola,9156.0
4811061,Edmonton,2021,Cropland (Acres),Canola,13722.0
4803001,Cardston County,2006,Cropland (Acres),Canola,37725.0
4803001,Cardston County,2011,Cropland (Acres),Canola,76331.0
4803001,Cardston County,2016,Cropland (Acres),Canola,93718.0
4803001,Cardston County,2021,Cropland (Acres),Canola,91809.0
4802031,Newell County,2006,Cropland (Acres),Canola,26957.0
4802031,Newell County,2011,Cropland (Acres),Canola,68625.0
