CSD,Period,IndicatorSummaryDescription,Count
Starland County,2001,Cattle and Calves (number of),0
Starland County,2006,Cattle and Calves (number of),34341
Starland County,2011,Cattle and Calves (number of),35178
Starland County,2016,Cattle and Calves (number of),54027
Starland County,2021,Cattle and Calves (number of),33028
Kneehill County,2021,Cattle and Calves (number of),146438
Kneehill County,2001,Cattle and Calves (number of),0
Kneehill County,2006,Cattle and Calves (number of),126025
Kneehill County,2011,Cattle and Calves (number of),81577
Kneehill County,2016,Cattle and Calves (number of),125417
Warner County No. 5,2001,Cattle and Calves (number of),0
Warner County No. 5,2006,Cattle and Calves (number of),109253
Warner County No. 5,2011,Cattle and Calves (number of),91109
Warner County No. 5,2016,Cattle and Calves (number of),86445
Warner County No. 5,2021,Cattle and Calves (number of),89959
Wainwright No. 61,2021,Cattle and Calves (number of),72090
Wainwright No. 61,2001,Cattle and Calves (number of),0
Wainwright No. 61,2006,Cattle and Calves (number of),99236
Wainwright No. 61,2011,Cattle and Calves (number of),67453
Wainwright No. 61,2016,Cattle and Calves (number of),84352
Red Deer County,2001,Cattle and Calves (number of),0
Red Deer County,2006,Cattle and Calves (number of),212507
Red Deer County,2011,Cattle and Calves (number of),145351
Red Deer County,2016,Cattle and Calves (number of),136435
Red Deer County,2021,Cattle and Calves (number of),135787
Wheatland County,2021,Cattle and Calves (number of),172386
Wheatland County,2001,Cattle and Calves (number of),0
Wheatland County,2006,Cattle and Calves (number of),206252
Wheatland County,2011,Cattle and Calves (number of),162218
Wheatland County,2016,Cattle and Calves (number of),150167
Stettler County No. 6,2001,Cattle and Calves (number of),0
Stettler County No. 6,2006,Cattle and Calves (number of),119135
Stettler County No. 6,2011,Cattle and Calves (number of),109585
Stettler County No. 6,2016,Cattle and Calves (number of),122459
Stettler County No. 6,2021,Cattle and Calves (number of),131015
Lacombe County,2021,Cattle and Calves (number of),102532
Lacombe County,2001,Cattle and Calves (number of),0
Lacombe County,2006,Cattle and Calves (number of),137017
Lacombe County,2011,Cattle and Calves (number of),105531
Lacombe County,2016,Cattle and Calves (number of),101636
Flagstaff County,2001,Cattle and Calves (number of),0
Flagstaff County,2006,Cattle and Calves (number of),91143
Flagstaff County,2011,Cattle and Calves (number of),57095
Flagstaff County,2016,Cattle and Calves (number of),59674
Flagstaff County,2021,Cattle and Calves (number of),66026
Paintearth County No. 18,2021,Cattle and Calves (number of),74447
Paintearth County No. 18,2001,Cattle and Calves (number of),0
Paintearth County No. 18,2006,Cattle and Calves (number of),78726
Paintearth County No. 18,2011,Cattle and Calves (number of),70016
Paintearth County No. 18,2016,Cattle and Calves (number of),70618
Camrose County,2001,Cattle and Calves (number of),0
Camrose County,2006,Cattle and Calves (number of),93652
Camrose County,2011,Cattle and Calves (number of),62128
Camrose County,2016,Cattle and Calves (number of),58817
Camrose County,2021,Cattle and Calves (number of),60720
Edmonton,2021,Cattle and Calves (number of),3882
Edmonton,2001,Cattle and Calves (number of),0
Edmonton,2006,Cattle and Calves (number of),3786
Edmonton,2011,Cattle and Calves (number of),185
Edmonton,2016,Cattle and Calves (number of),2829
Cardston County,2001,Cattle and Calves (number of),0
Cardston County,2006,Cattle and Calves (number of),92553
Cardston County,2011,Cattle and Calves (number of),87868
Cardston County,2016,Cattle and Calves (number of),117090
Cardston County,2021,Cattle and Calves (number of),85272
Newell County,2021,Cattle and Calves (number of),235200
Newell County,2001,Cattle and Calves (number of),0
Newell County,2006,Cattle and Calves (number of),259913
Newell County,2011,Cattle and Calves (number of),146139
Newell County,2016,Cattle and Calves (number of),197411
Ponoka County,2001,Cattle and Calves (number of),0
Ponoka County,2006,Cattle and Calves (number of),169425
Ponoka County,2011,Cattle and Calves (number of),123530
Ponoka County,2016,Cattle and Calves (number of),130737
Ponoka County,2021,Cattle and Calves (number of),144208
Lac la Biche County,2021,Cattle and Calves (number of),20995
Lac la Biche County,2001,Cattle and Calves (number of),0
Lac la Biche County,2006,Cattle and Calves (number of),35606
Lac la Biche County,2011,Cattle and Calves (number of),18018
Lac la Biche County,2016,Cattle and Calves (number of),21192
Clearwater County,2001,Cattle and Calves (number of),0
Clearwater County,2006,Cattle and Calves (number of),111878
Clearwater County,2011,Cattle and Calves (number of),78471
Clearwater County,2016,Cattle and Calves (number of),67364
Clearwater County,2021,Cattle and Calves (number of),69486
Minburn County No. 27,2021,Cattle and Calves (number of),49464
Minburn County No. 27,2001,Cattle and Calves (number of),0
Minburn County No. 27,2006,Cattle and Calves (number of),63148
Minburn County No. 27,2011,Cattle and Calves (number of),88953
Minburn County No. 27,2016,Cattle and Calves (number of),72964
