CSD,Period,Crop Type,Count
Starland County,2006,Barley,74158
Starland County,2011,Barley,58694
Starland County,2016,Barley,78553
Starland County,2021,Barley,77908
Kneehill County,2006,Barley,145640
Kneehill County,2011,Barley,131926
Kneehill County,2016,Barley,139834
Kneehill County,2021,Barley,134097
Warner County No. 5,2006,Barley,108827
Warner County No. 5,2011,Barley,103801
Warner County No. 5,2016,Barley,91844
Warner County No. 5,2021,Barley,107064
Wainwright No. 61,2006,Barley,69559
Wainwright No. 61,2011,Barley,52567
Wainwright No. 61,2016,Barley,48738
Wainwright No. 61,2021,Barley,57077
Red Deer County,2006,Barley,163593
Red Deer County,2011,Barley,163446
Red Deer County,2016,Barley,150080
Red Deer County,2021,Barley,144768
Wheatland County,2006,Barley,161634
Wheatland County,2011,Barley,146258
Wheatland County,2016,Barley,152705
Wheatland County,2021,Barley,164634
Stettler County No. 6,2006,Barley,76780
Stettler County No. 6,2011,Barley,77925
Stettler County No. 6,2016,Barley,80386
Stettler County No. 6,2021,Barley,97709
Lacombe County,2006,Barley,103488
Lacombe County,2011,Barley,111902
Lacombe County,2016,Barley,89475
Lacombe County,2021,Barley,108333
Flagstaff County,2006,Barley,95499
Flagstaff County,2011,Barley,81926
Flagstaff County,2016,Barley,84591
Flagstaff County,2021,Barley,99362
Paintearth County No. 18,2006,Barley,41964
Paintearth County No. 18,2011,Barley,43339
Paintearth County No. 18,2016,Barley,34695
Paintearth County No. 18,2021,Barley,35018
Camrose County,2006,Barley,83074
Camrose County,2011,Barley,82276
Camrose County,2016,Barley,103574
Camrose County,2021,Barley,106052
Edmonton,2006,Barley,5609
Edmonton,2011,Barley,662
Edmonton,2016,Barley,4060
Edmonton,2021,Barley,5263
Cardston County,2006,Barley,182329
Cardston County,2011,Barley,120774
Cardston County,2016,Barley,88655
Cardston County,2021,Barley,81590
Newell County,2006,Barley,48233
Newell County,2011,Barley,44869
Newell County,2016,Barley,44051
Newell County,2021,Barley,53510
Ponoka County,2006,Barley,77534
Ponoka County,2011,Barley,81853
Ponoka County,2016,Barley,73818
Ponoka County,2021,Barley,72345
Lac la Biche County,2006,Barley,6441
Lac la Biche County,2011,Barley,4978
Lac la Biche County,2016,Barley,6070
Lac la Biche County,2021,Barley,6449
Clearwater County,2006,Barley,21053
Clearwater County,2011,Barley,29209
Clearwater County,2016,Barley,21237
Clearwater County,2021,Barley,21773
Minburn County No. 27,2006,Barley,66246
Minburn County No. 27,2011,Barley,56768
Minburn County No. 27,2016,Barley,58898
Minburn County No. 27,2021,Barley,64262
Westlock County,2006,Barley,84397
Westlock County,2011,Barley,65044
Westlock County,2016,Barley,61880
Westlock County,2021,Barley,64903
Woodlands County,2006,Barley,5633
Woodlands County,2011,Barley,8498
Woodlands County,2016,Barley,5626
Woodlands County,2021,Barley,6342
Barrhead County No. 11,2006,Barley,62909
Barrhead County No. 11,2011,Barley,41461
Barrhead County No. 11,2016,Barley,49078
Barrhead County No. 11,2021,Barley,52484
Beaver County,2006,Barley,55336
Beaver County,2011,Barley,36791
Beaver County,2016,Barley,34454
Beaver County,2021,Barley,54196
Forty Mile County No. 8,2006,Barley,70003
Forty Mile County No. 8,2011,Barley,50371
Forty Mile County No. 8,2016,Barley,59905
Forty Mile County No. 8,2021,Barley,99029
Cypress County,2006,Barley,33480
Cypress County,2011,Barley,25115
Cypress County,2016,Barley,32413
Cypress County,2021,Barley,51661
Willow Creek No. 26,2006,Barley,153361
Willow Creek No. 26,2011,Barley,119280
Willow Creek No. 26,2016,Barley,106851
Willow Creek No. 26,2021,Barley,110053
Lethbridge County,2006,Barley,164227
Lethbridge County,2011,Barley,115228
Lethbridge County,2016,Barley,92621
Lethbridge County,2021,Barley,183658
"Taber, M.D.",2006,Barley,72604
"Taber, M.D.",2011,Barley,74885
"Taber, M.D.",2016,Barley,63682
"Taber, M.D.",2021,Barley,70319
Pincher Creek No. 9,2006,Barley,86886
Pincher Creek No. 9,2011,Barley,93180
Pincher Creek No. 9,2016,Barley,52865
Pincher Creek No. 9,2021,Barley,45946
Special Area No. 2,2006,Barley,35031
Special Area No. 2,2011,Barley,37815
Special Area No. 2,2016,Barley,26382
Special Area No. 2,2021,Barley,34146
Special Area No. 3,2006,Barley,64041
Special Area No. 3,2011,Barley,45941
Special Area No. 3,2016,Barley,28972
