CSDUID,CSD,Period,IndicatorSummaryDescription,Crop Type,Count
4805031,Starland County,2006,Cropland (Acres),Durum Wheat,1360.0
4805031,Starland County,2011,Cropland (Acres),Durum Wheat,0.0
4805031,Starland County,2016,Cropland (Acres),Durum Wheat,1380.0
4805031,Starland County,2021,Cropland (Acres),Durum Wheat,0.0
4805041,Kneehill County,2006,Cropland (Acres),Durum Wheat,4926.0
4805041,Kneehill County,2011,Cropland (Acres),Durum Wheat,0.0
4805041,Kneehill County,2016,Cropland (Acres),Durum Wheat,6923.0
4805041,Kneehill County,2021,Cropland (Acres),Durum Wheat,0.0
4802001,Warner County No. 5,2006,Cropland (Acres),Durum Wheat,112156.0
4802001,Warner County No. 5,2011,Cropland (Acres),Durum Wheat,106717.0
4802001,Warner County No. 5,2016,Cropland (Acres),Durum Wheat,182024.0
4802001,Warner County No. 5,2021,Cropland (Acres),Durum Wheat,126839.0
4807049,Wainwright No. 61,2006,Cropland (Acres),Durum Wheat,0.0
4807049,Wainwright No. 61,2011,Cropland (Acres),Durum Wheat,0.0
4807049,Wainwright No. 61,2016,Cropland (Acres),Durum Wheat,0.0
4807049,Wainwright No. 61,2021,Cropland (Acres),Durum Wheat,5352.0
4808001,Red Deer County,2006,Cropland (Acres),Durum Wheat,2130.0
4808001,Red Deer County,2011,Cropland (Acres),Durum Wheat,881.0
4808001,Red Deer County,2016,Cropland (Acres),Durum Wheat,8236.0
4808001,Red Deer County,2021,Cropland (Acres),Durum Wheat,0.0
4805012,Wheatland County,2006,Cropland (Acres),Durum Wheat,5924.0
4805012,Wheatland County,2011,Cropland (Acres),Durum Wheat,818.0
4805012,Wheatland County,2016,Cropland (Acres),Durum Wheat,10261.0
4805012,Wheatland County,2021,Cropland (Acres),Durum Wheat,20331.0
4807019,Stettler County No. 6,2006,Cropland (Acres),Durum Wheat,0.0
4807019,Stettler County No. 6,2011,Cropland (Acres),Durum Wheat,1717.0
4807019,Stettler County No. 6,2016,Cropland (Acres),Durum Wheat,0.0
4807019,Stettler County No. 6,2021,Cropland (Acres),Durum Wheat,0.0
4808022,Lacombe County,2006,Cropland (Acres),Durum Wheat,1091.0
4808022,Lacombe County,2011,Cropland (Acres),Durum Wheat,1249.0
4808022,Lacombe County,2016,Cropland (Acres),Durum Wheat,7535.0
4808022,Lacombe County,2021,Cropland (Acres),Durum Wheat,0.0
4807031,Flagstaff County,2006,Cropland (Acres),Durum Wheat,0.0
4807031,Flagstaff County,2011,Cropland (Acres),Durum Wheat,0.0
4807031,Flagstaff County,2016,Cropland (Acres),Durum Wheat,0.0
4807031,Flagstaff County,2021,Cropland (Acres),Durum Wheat,7336.0
4807011,Paintearth County No. 18,2006,Cropland (Acres),Durum Wheat,1268.0
4807011,Paintearth County No. 18,2011,Cropland (Acres),Durum Wheat,1210.0
4807011,Paintearth County No. 18,2016,Cropland (Acres),Durum Wheat,0.0
