CSDUID,CSD,Period,IndicatorSummaryDescription,Crop Type,Count
4805031,Starland County,2006,Cropland (Acres),Non-durum Wheat,183625.0
4805031,Starland County,2011,Cropland (Acres),Non-durum Wheat,147156.0
4805031,Starland County,2016,Cropland (Acres),Non-durum Wheat,132256.0
4805031,Starland County,2021,Cropland (Acres),Non-durum Wheat,142320.0
4805041,Kneehill County,2006,Cropland (Acres),Non-durum Wheat,241344.0
4805041,Kneehill County,2011,Cropland (Acres),Non-durum Wheat,212140.0
4805041,Kneehill County,2016,Cropland (Acres),Non-durum Wheat,198770.0
4805041,Kneehill County,2021,Cropland (Acres),Non-durum Wheat,198359.0
4802001,Warner County No. 5,2006,Cropland (Acres),Non-durum Wheat,163654.0
4802001,Warner County No. 5,2011,Cropland (Acres),Non-durum Wheat,146251.0
4802001,Warner County No. 5,2016,Cropland (Acres),Non-durum Wheat,93803.0
4802001,Warner County No. 5,2021,Cropland (Acres),Non-durum Wheat,108364.0
4807049,Wainwright No. 61,2006,Cropland (Acres),Non-durum Wheat,141333.0
4807049,Wainwright No. 61,2011,Cropland (Acres),Non-durum Wheat,0.0
4807049,Wainwright No. 61,2016,Cropland (Acres),Non-durum Wheat,158395.0
4807049,Wainwright No. 61,2021,Cropland (Acres),Non-durum Wheat,132860.0
4808001,Red Deer County,2006,Cropland (Acres),Non-durum Wheat,76684.0
4808001,Red Deer County,2011,Cropland (Acres),Non-durum Wheat,91880.0
4808001,Red Deer County,2016,Cropland (Acres),Non-durum Wheat,129007.0
4808001,Red Deer County,2021,Cropland (Acres),Non-durum Wheat,128462.0
4805012,Wheatland County,2006,Cropland (Acres),Non-durum Wheat,327719.0
4805012,Wheatland County,2011,Cropland (Acres),Non-durum Wheat,289289.0
4805012,Wheatland County,2016,Cropland (Acres),Non-durum Wheat,280172.0
4805012,Wheatland County,2021,Cropland (Acres),Non-durum Wheat,299488.0
4807019,Stettler County No. 6,2006,Cropland (Acres),Non-durum Wheat,98440.0
4807019,Stettler County No. 6,2011,Cropland (Acres),Non-durum Wheat,113649.0
4807019,Stettler County No. 6,2016,Cropland (Acres),Non-durum Wheat,109308.0
4807019,Stettler County No. 6,2021,Cropland (Acres),Non-durum Wheat,119551.0
