CSD,Period,Crop Type,Count
Starland County,2006,Oats,8563
Starland County,2011,Oats,3906
Starland County,2016,Oats,3604
Starland County,2021,Oats,3832
Kneehill County,2006,Oats,9627
Kneehill County,2011,Oats,7049
Kneehill County,2016,Oats,4209
Kneehill County,2021,Oats,5066
Warner County No. 5,2006,Oats,8531
Warner County No. 5,2011,Oats,5680
Warner County No. 5,2016,Oats,6343
Warner County No. 5,2021,Oats,2841
Wainwright No. 61,2006,Oats,41199
Wainwright No. 61,2011,Oats,18288
Wainwright No. 61,2016,Oats,20469
Wainwright No. 61,2021,Oats,18320
Red Deer County,2006,Oats,16026
Red Deer County,2011,Oats,11484
Red Deer County,2016,Oats,9286
Red Deer County,2021,Oats,13628
Wheatland County,2006,Oats,9694
Wheatland County,2011,Oats,5568
Wheatland County,2016,Oats,4562
Wheatland County,2021,Oats,8107
Stettler County No. 6,2006,Oats,22961
Stettler County No. 6,2011,Oats,16713
Stettler County No. 6,2016,Oats,16552
Stettler County No. 6,2021,Oats,15849
Lacombe County,2006,Oats,13316
Lacombe County,2011,Oats,8625
Lacombe County,2016,Oats,9333
Lacombe County,2021,Oats,10832
Flagstaff County,2006,Oats,27779
Flagstaff County,2011,Oats,11590
Flagstaff County,2016,Oats,14317
Flagstaff County,2021,Oats,15236
Paintearth County No. 18,2006,Oats,44561
Paintearth County No. 18,2011,Oats,28986
Paintearth County No. 18,2016,Oats,22563
Paintearth County No. 18,2021,Oats,24113
Camrose County,2006,Oats,16663
Camrose County,2011,Oats,8684
Camrose County,2016,Oats,9809
Camrose County,2021,Oats,19128
Edmonton,2006,Oats,1167
Edmonton,2011,Oats,0
Edmonton,2016,Oats,952
Edmonton,2021,Oats,0
Cardston County,2006,Oats,6528
Cardston County,2011,Oats,2666
Cardston County,2016,Oats,7719
Cardston County,2021,Oats,2756
Newell County,2006,Oats,11067
Newell County,2011,Oats,3811
Newell County,2016,Oats,4342
Newell County,2021,Oats,5149
Ponoka County,2006,Oats,19535
