CSDUID,CSD,Period,IndicatorSummaryDescription,Crop Type,Count
4805031,Starland County,2006,Cropland (Acres),Other,64335.0
4805031,Starland County,2011,Cropland (Acres),Other,65355.0
4805031,Starland County,2016,Cropland (Acres),Other,86197.0
4805031,Starland County,2021,Cropland (Acres),Other,89193.0
4805041,Kneehill County,2006,Cropland (Acres),Other,77079.0
4805041,Kneehill County,2011,Cropland (Acres),Other,69800.0
4805041,Kneehill County,2016,Cropland (Acres),Other,96272.0
4805041,Kneehill County,2021,Cropland (Acres),Other,99812.0
4802001,Warner County No. 5,2006,Cropland (Acres),Other,119781.0
4802001,Warner County No. 5,2011,Cropland (Acres),Other,133168.0
4802001,Warner County No. 5,2016,Cropland (Acres),Other,217483.0
4802001,Warner County No. 5,2021,Cropland (Acres),Other,252983.0
4807049,Wainwright No. 61,2006,Cropland (Acres),Other,108542.0
4807049,Wainwright No. 61,2011,Cropland (Acres),Other,230146.0
4807049,Wainwright No. 61,2016,Cropland (Acres),Other,99484.0
4807049,Wainwright No. 61,2021,Cropland (Acres),Other,77561.0
4808001,Red Deer County,2006,Cropland (Acres),Other,212813.0
4808001,Red Deer County,2011,Cropland (Acres),Other,158390.0
4808001,Red Deer County,2016,Cropland (Acres),Other,155841.0
4808001,Red Deer County,2021,Cropland (Acres),Other,141008.0
4805012,Wheatland County,2006,Cropland (Acres),Other,112686.0
4805012,Wheatland County,2011,Cropland (Acres),Other,104169.0
4805012,Wheatland County,2016,Cropland (Acres),Other,164597.0
4805012,Wheatland County,2021,Cropland (Acres),Other,158820.0
4807019,Stettler County No. 6,2006,Cropland (Acres),Other,151171.0
4807019,Stettler County No. 6,2011,Cropland (Acres),Other,139577.0
4807019,Stettler County No. 6,2016,Cropland (Acres),Other,134727.0
4807019,Stettler County No. 6,2021,Cropland (Acres),Other,119524.0
4808022,Lacombe County,2006,Cropland (Acres),Other,192985.0
4808022,Lacombe County,2011,Cropland (Acres),Other,92494.0
4808022,Lacombe County,2016,Cropland (Acres),Other,107655.0
4808022,Lacombe County,2021,Cropland (Acres),Other,118931.0
4807031,Flagstaff County,2006,Cropland (Acres),Other,101676.0
4807031,Flagstaff County,2011,Cropland (Acres),Other,355323.0
4807031,Flagstaff County,2016,Cropland (Acres),Other,104101.0
4807031,Flagstaff County,2021,Cropland (Acres),Other,83246.0
4807011,Paintearth County No. 18,2006,Cropland (Acres),Other,106381.0
4807011,Paintearth County No. 18,2011,Cropland (Acres),Other,105617.0
4807011,Paintearth County No. 18,2016,Cropland (Acres),Other,109321.0
4807011,Paintearth County No. 18,2021,Cropland (Acres),Other,101142.0
4810001,Camrose County,2006,Cropland (Acres),Other,115830.0
4810001,Camrose County,2011,Cropland (Acres),Other,91294.0
4810001,Camrose County,2016,Cropland (Acres),Other,102840.0
4810001,Camrose County,2021,Cropland (Acres),Other,76828.0
4811061,Edmonton,2006,Cropland (Acres),Other,21088.0
4811061,Edmonton,2011,Cropland (Acres),Other,5863.0
4811061,Edmonton,2016,Cropland (Acres),Other,6109.0
4811061,Edmonton,2021,Cropland (Acres),Other,4056.0
4803001,Cardston County,2006,Cropland (Acres),Other,90209.0
4803001,Cardston County,2011,Cropland (Acres),Other,75088.0
4803001,Cardston County,2016,Cropland (Acres),Other,86502.0
4803001,Cardston County,2021,Cropland (Acres),Other,116149.0
4802031,Newell County,2006,Cropland (Acres),Other,142542.0
4802031,Newell County,2011,Cropland (Acres),Other,142435.0
4802031,Newell County,2016,Cropland (Acres),Other,177692.0
4802031,Newell County,2021,Cropland (Acres),Other,175328.0
4808038,Ponoka County,2006,Cropland (Acres),Other,159655.0
4808038,Ponoka County,2011,Cropland (Acres),Other,114226.0
4808038,Ponoka County,2016,Cropland (Acres),Other,114822.0
4808038,Ponoka County,2021,Cropland (Acres),Other,104410.0
