CSD,Year,Well Count
Drumheller,2003,10
Drumheller,2004,35
Drumheller,2005,21
Drumheller,2006,17
Drumheller,2007,11
Drumheller,2008,11
Drumheller,2009,2
Drumheller,2010,6
Drumheller,2012,2
Drumheller,2013,1
Drumheller,2014,0
Drumheller,2017,0
Drumheller,2018,3
Drumheller,2019,2
Drumheller,2020,1
Drumheller,2021,2
Drumheller,2022,5
Drumheller,2023,4
Starland County,2023,6
Starland County,2003,113
Starland County,2004,286
Starland County,2005,495
Starland County,2006,278
Starland County,2007,103
Starland County,2008,137
Starland County,2009,37
Starland County,2010,38
Starland County,2011,62
Starland County,2012,20
Starland County,2013,44
Starland County,2014,26
Starland County,2015,9
Starland County,2017,11
Starland County,2018,17
Starland County,2019,1
Starland County,2020,1
Starland County,2021,3
Starland County,2022,2
Kneehill County,2003,235
Kneehill County,2004,481
Kneehill County,2005,1022
Kneehill County,2006,735
Kneehill County,2007,537
Kneehill County,2008,593
Kneehill County,2009,281
Kneehill County,2010,392
Kneehill County,2011,127
Kneehill County,2012,79
Kneehill County,2013,98
Kneehill County,2014,70
Kneehill County,2015,29
Kneehill County,2016,12
Kneehill County,2017,25
Kneehill County,2018,44
Kneehill County,2019,34
Kneehill County,2020,4
Kneehill County,2021,20
Kneehill County,2022,41
Kneehill County,2023,55
Warner County No. 5,2023,3
Warner County No. 5,2003,50
Warner County No. 5,2004,53
Warner County No. 5,2005,96
Warner County No. 5,2006,55
Warner County No. 5,2007,20
Warner County No. 5,2008,18
Warner County No. 5,2009,13
Warner County No. 5,2010,32
Warner County No. 5,2011,24
Warner County No. 5,2012,42
Warner County No. 5,2013,25
Warner County No. 5,2014,22
Warner County No. 5,2015,12
Warner County No. 5,2016,10
Warner County No. 5,2017,12
Warner County No. 5,2018,14
Warner County No. 5,2019,3
Warner County No. 5,2020,3
Warner County No. 5,2022,20
Wainwright No. 61,2003,338
Wainwright No. 61,2004,186
Wainwright No. 61,2005,185
Wainwright No. 61,2006,292
Wainwright No. 61,2007,123
Wainwright No. 61,2008,133
Wainwright No. 61,2009,27
Wainwright No. 61,2010,117
Wainwright No. 61,2011,111
Wainwright No. 61,2012,79
Wainwright No. 61,2013,95
Wainwright No. 61,2014,56
Wainwright No. 61,2015,26
Wainwright No. 61,2016,15
Wainwright No. 61,2017,34
Wainwright No. 61,2018,29
Wainwright No. 61,2019,17
Wainwright No. 61,2020,22
Wainwright No. 61,2021,34
Wainwright No. 61,2022,33
Wainwright No. 61,2023,64
Chauvin,2023,6
Red Deer County,2023,12
Red Deer County,2003,204
Red Deer County,2004,359
Red Deer County,2005,658
Red Deer County,2006,531
Red Deer County,2007,287
Red Deer County,2008,429
Red Deer County,2009,185
Red Deer County,2010,156
Red Deer County,2011,123
Red Deer County,2012,48
Red Deer County,2013,49
Red Deer County,2014,59
Red Deer County,2015,13
Red Deer County,2016,7
Red Deer County,2017,28
Red Deer County,2018,59
Red Deer County,2019,14
Red Deer County,2020,2
Red Deer County,2021,25
Red Deer County,2022,23
Wheatland County,2003,654
Wheatland County,2004,948
Wheatland County,2005,593
Wheatland County,2006,540
Wheatland County,2007,697
Wheatland County,2008,478
Wheatland County,2009,272
Wheatland County,2010,565
Wheatland County,2011,331
Wheatland County,2012,192
Wheatland County,2013,291
Wheatland County,2014,271
Wheatland County,2015,111
Wheatland County,2016,36
Wheatland County,2017,32
Wheatland County,2018,48
Wheatland County,2019,39
Wheatland County,2020,5
Wheatland County,2021,21
Wheatland County,2022,27
Wheatland County,2023,28
Stettler County No. 6,2003,176
