Municipality,Year,Vehicle_Type,Registration_Count
Red Deer,2005,Total Motorized Vehicles,69394
Red Deer,2006,Total Motorized Vehicles,73309
Red Deer,2007,Total Motorized Vehicles,77226
Red Deer,2008,Total Motorized Vehicles,78857
Red Deer,2009,Total Motorized Vehicles,79679
Red Deer,2010,Total Motorized Vehicles,79679
Red Deer,2011,Total Motorized Vehicles,83466
Red Deer,2012,Total Motorized Vehicles,86641
Red Deer,2013,Total Motorized Vehicles,89627
Red Deer,2014,Total Motorized Vehicles,93030
Red Deer,2015,Total Motorized Vehicles,92096
Red Deer,2016,Total Motorized Vehicles,86902
Red Deer,2017,Total Motorized Vehicles,85220
Red Deer,2018,Total Motorized Vehicles,85721
Red Deer,2019,Total Motorized Vehicles,83801
Red Deer,2020,Total Motorized Vehicles,84098
Fort Saskatchewan,2005,Total Motorized Vehicles,14909
Fort Saskatchewan,2006,Total Motorized Vehicles,15631
Fort Saskatchewan,2007,Total Motorized Vehicles,16841
Fort Saskatchewan,2008,Total Motorized Vehicles,17514
Fort Saskatchewan,2009,Total Motorized Vehicles,19124
Fort Saskatchewan,2010,Total Motorized Vehicles,19124
Fort Saskatchewan,2011,Total Motorized Vehicles,20073
Fort Saskatchewan,2012,Total Motorized Vehicles,20691
Fort Saskatchewan,2013,Total Motorized Vehicles,21513
Fort Saskatchewan,2014,Total Motorized Vehicles,22517
Fort Saskatchewan,2015,Total Motorized Vehicles,23324
Fort Saskatchewan,2016,Total Motorized Vehicles,23466
Fort Saskatchewan,2017,Total Motorized Vehicles,23652
Fort Saskatchewan,2018,Total Motorized Vehicles,24389
Fort Saskatchewan,2019,Total Motorized Vehicles,24681
Fort Saskatchewan,2020,Total Motorized Vehicles,25313
Edmonton,2005,Total Motorized Vehicles,492890
Edmonton,2006,Total Motorized Vehicles,524847
Edmonton,2007,Total Motorized Vehicles,554714
Edmonton,2008,Total Motorized Vehicles,567745
Edmonton,2009,Total Motorized Vehicles,585765
Edmonton,2010,Total Motorized Vehicles,585765
Edmonton,2011,Total Motorized Vehicles,602783
Edmonton,2012,Total Motorized Vehicles,629350
Edmonton,2013,Total Motorized Vehicles,656563
Edmonton,2014,Total Motorized Vehicles,685437
Edmonton,2015,Total Motorized Vehicles,694584
Edmonton,2016,Total Motorized Vehicles,679558
Edmonton,2017,Total Motorized Vehicles,690375
Edmonton,2018,Total Motorized Vehicles,707769
Edmonton,2019,Total Motorized Vehicles,704657
Edmonton,2020,Total Motorized Vehicles,712934
Lethbridge,2005,Total Motorized Vehicles,60133
Lethbridge,2006,Total Motorized Vehicles,63433
Lethbridge,2007,Total Motorized Vehicles,67641
Lethbridge,2008,Total Motorized Vehicles,70104
Lethbridge,2009,Total Motorized Vehicles,72486
Lethbridge,2010,Total Motorized Vehicles,72486
Lethbridge,2011,Total Motorized Vehicles,74064
Lethbridge,2012,Total Motorized Vehicles,75670
Lethbridge,2013,Total Motorized Vehicles,77446
Lethbridge,2014,Total Motorized Vehicles,80013
Lethbridge,2015,Total Motorized Vehicles,81494
Lethbridge,2016,Total Motorized Vehicles,81615
Lethbridge,2017,Total Motorized Vehicles,80797
Lethbridge,2018,Total Motorized Vehicles,82195
Lethbridge,2019,Total Motorized Vehicles,81915
Lethbridge,2020,Total Motorized Vehicles,82863
Newell County,2005,Total Motorized Vehicles,2943
Newell County,2006,Total Motorized Vehicles,3032
Newell County,2007,Total Motorized Vehicles,3116
Newell County,2008,Total Motorized Vehicles,3203
Newell County,2009,Total Motorized Vehicles,3180
Newell County,2010,Total Motorized Vehicles,3180
Newell County,2011,Total Motorized Vehicles,3393
Newell County,2012,Total Motorized Vehicles,3506
Newell County,2013,Total Motorized Vehicles,3522
Newell County,2014,Total Motorized Vehicles,3631
Newell County,2015,Total Motorized Vehicles,3729
Newell County,2016,Total Motorized Vehicles,3650
Newell County,2017,Total Motorized Vehicles,3617
Newell County,2018,Total Motorized Vehicles,3668
Newell County,2019,Total Motorized Vehicles,3652
Newell County,2020,Total Motorized Vehicles,3654
Caroline,2005,Total Motorized Vehicles,2091
Caroline,2006,Total Motorized Vehicles,2227
Caroline,2007,Total Motorized Vehicles,2387
Caroline,2008,Total Motorized Vehicles,2409
Caroline,2009,Total Motorized Vehicles,2480
Caroline,2010,Total Motorized Vehicles,2480
Caroline,2011,Total Motorized Vehicles,2545
Caroline,2012,Total Motorized Vehicles,2601
Caroline,2013,Total Motorized Vehicles,2586
Caroline,2014,Total Motorized Vehicles,2626
Caroline,2015,Total Motorized Vehicles,2678
Caroline,2016,Total Motorized Vehicles,2613
Caroline,2017,Total Motorized Vehicles,2584
Caroline,2018,Total Motorized Vehicles,2649
Caroline,2019,Total Motorized Vehicles,2659
Caroline,2020,Total Motorized Vehicles,2703
Airdrie,2005,Total Motorized Vehicles,24609
Airdrie,2006,Total Motorized Vehicles,27288
Airdrie,2007,Total Motorized Vehicles,30095
Airdrie,2008,Total Motorized Vehicles,32293
Airdrie,2009,Total Motorized Vehicles,36368
Airdrie,2010,Total Motorized Vehicles,36368
Airdrie,2011,Total Motorized Vehicles,38999
Airdrie,2012,Total Motorized Vehicles,42381
Airdrie,2013,Total Motorized Vehicles,46233
Airdrie,2014,Total Motorized Vehicles,50069
Airdrie,2015,Total Motorized Vehicles,52552
Airdrie,2016,Total Motorized Vehicles,53988
Airdrie,2017,Total Motorized Vehicles,55749
Airdrie,2018,Total Motorized Vehicles,56348
Airdrie,2019,Total Motorized Vehicles,56471
Airdrie,2020,Total Motorized Vehicles,58437
Medicine Hat,2005,Total Motorized Vehicles,49411
Medicine Hat,2006,Total Motorized Vehicles,51960
Medicine Hat,2007,Total Motorized Vehicles,54275
Medicine Hat,2008,Total Motorized Vehicles,55828
Medicine Hat,2009,Total Motorized Vehicles,55662
Medicine Hat,2010,Total Motorized Vehicles,55662
Medicine Hat,2011,Total Motorized Vehicles,57383
Medicine Hat,2012,Total Motorized Vehicles,58493
Medicine Hat,2013,Total Motorized Vehicles,59498
Medicine Hat,2014,Total Motorized Vehicles,60988
Medicine Hat,2015,Total Motorized Vehicles,60995
Medicine Hat,2016,Total Motorized Vehicles,60173
Medicine Hat,2017,Total Motorized Vehicles,59515
Medicine Hat,2018,Total Motorized Vehicles,60465
Medicine Hat,2019,Total Motorized Vehicles,59821
Medicine Hat,2020,Total Motorized Vehicles,60072
"Taber, M.D.",2005,Total Motorized Vehicles,2311
"Taber, M.D.",2006,Total Motorized Vehicles,2337
"Taber, M.D.",2007,Total Motorized Vehicles,2480
"Taber, M.D.",2008,Total Motorized Vehicles,2570
"Taber, M.D.",2009,Total Motorized Vehicles,2715
"Taber, M.D.",2010,Total Motorized Vehicles,2715
"Taber, M.D.",2011,Total Motorized Vehicles,2822
"Taber, M.D.",2012,Total Motorized Vehicles,2876
"Taber, M.D.",2013,Total Motorized Vehicles,2943
"Taber, M.D.",2014,Total Motorized Vehicles,3056
"Taber, M.D.",2015,Total Motorized Vehicles,3038
"Taber, M.D.",2016,Total Motorized Vehicles,2991
"Taber, M.D.",2017,Total Motorized Vehicles,3046
"Taber, M.D.",2018,Total Motorized Vehicles,3086
"Taber, M.D.",2019,Total Motorized Vehicles,3119
"Taber, M.D.",2020,Total Motorized Vehicles,3081
Foothills County,2005,Total Motorized Vehicles,10169
Foothills County,2006,Total Motorized Vehicles,10729
Foothills County,2007,Total Motorized Vehicles,11550
Foothills County,2008,Total Motorized Vehicles,12150
Foothills County,2009,Total Motorized Vehicles,12643
Foothills County,2010,Total Motorized Vehicles,12643
Foothills County,2011,Total Motorized Vehicles,13038
Foothills County,2012,Total Motorized Vehicles,13367
Foothills County,2013,Total Motorized Vehicles,13756
Foothills County,2014,Total Motorized Vehicles,14367
Foothills County,2015,Total Motorized Vehicles,14732
Foothills County,2016,Total Motorized Vehicles,15346
Foothills County,2017,Total Motorized Vehicles,15305
Foothills County,2018,Total Motorized Vehicles,15353
Foothills County,2019,Total Motorized Vehicles,15074
Foothills County,2020,Total Motorized Vehicles,15132
Calgary,2005,Total Motorized Vehicles,743767
Calgary,2006,Total Motorized Vehicles,789347
Calgary,2007,Total Motorized Vehicles,829030
Calgary,2008,Total Motorized Vehicles,843825
Calgary,2009,Total Motorized Vehicles,867376
Calgary,2010,Total Motorized Vehicles,867376
Calgary,2011,Total Motorized Vehicles,895357
Calgary,2012,Total Motorized Vehicles,934296
