CSDUID,CSD,Period,IndicatorSummaryDescription,UnitOfMeasure,OriginalValue
4805031,Starland County,2001,Cattle and Calves (number of)
4805031,Starland County,2006,Cattle and Calves (number of),,34341.00000
4805031,Starland County,2011,Cattle and Calves (number of),,35178.00000
4805031,Starland County,2016,Cattle and Calves (number of),,54027.00000
4805031,Starland County,2021,Cattle and Calves (number of),,33028.00000
4805041,Kneehill County,2021,Cattle and Calves (number of),,146438.00000
4805041,Kneehill County,2001,Cattle and Calves (number of)
4805041,Kneehill County,2006,Cattle and Calves (number of),,126025.00000
4805041,Kneehill County,2011,Cattle and Calves (number of),,81577.00000
4805041,Kneehill County,2016,Cattle and Calves (number of),,125417.00000
4802001,Warner County No. 5,2001,Cattle and Calves (number of)
4802001,Warner County No. 5,2006,Cattle and Calves (number of),,109253.00000
4802001,Warner County No. 5,2011,Cattle and Calves (number of),,91109.00000
4802001,Warner County No. 5,2016,Cattle and Calves (number of),,86445.00000
4802001,Warner County No. 5,2021,Cattle and Calves (number of),,89959.00000
4807049,Wainwright No. 61,2021,Cattle and Calves (number of),,72090.00000
4807049,Wainwright No. 61,2001,Cattle and Calves (number of)
4807049,Wainwright No. 61,2006,Cattle and Calves (number of),,99236.00000
4807049,Wainwright No. 61,2011,Cattle and Calves (number of),,67453.00000
4807049,Wainwright No. 61,2016,Cattle and Calves (number of),,84352.00000
4808001,Red Deer County,2001,Cattle and Calves (number of)
4808001,Red Deer County,2006,Cattle and Calves (number of),,212507.00000
4808001,Red Deer County,2011,Cattle and Calves (number of),,145351.00000
4808001,Red Deer County,2016,Cattle and Calves (number of),,136435.00000
4808001,Red Deer County,2021,Cattle and Calves (number of),,135787.00000
4805012,Wheatland County,2021,Cattle and Calves (number of),,172386.00000
4805012,Wheatland County,2001,Cattle and Calves (number of)
4805012,Wheatland County,2006,Cattle and Calves (number of),,206252.00000
4805012,Wheatland County,2011,Cattle and Calves (number of),,162218.00000
4805012,Wheatland County,2016,Cattle and Calves (number of),,150167.00000
