CSDUID,CSD,Period,IndicatorSummaryDescription,Crop Type,UnitOfMeasure,OriginalValue
4805031,Starland County,2006,Cropland (Acres),Barley,Acres,74158.00000
4805031,Starland County,2011,Cropland (Acres),Barley,Acres,58694.00000
4805031,Starland County,2016,Cropland (Acres),Barley,Acres,78553.00000
4805031,Starland County,2021,Cropland (Acres),Barley,Acres,77908.00000
4805041,Kneehill County,2006,Cropland (Acres),Barley,Acres,145640.00000
4805041,Kneehill County,2011,Cropland (Acres),Barley,Acres,131926.00000
4805041,Kneehill County,2016,Cropland (Acres),Barley,Acres,139834.00000
4805041,Kneehill County,2021,Cropland (Acres),Barley,Acres,134097.00000
4802001,Warner County No. 5,2006,Cropland (Acres),Barley,Acres,108827.00000
4802001,Warner County No. 5,2011,Cropland (Acres),Barley,Acres,103801.00000
4802001,Warner County No. 5,2016,Cropland (Acres),Barley,Acres,91844.00000
4802001,Warner County No. 5,2021,Cropland (Acres),Barley,Acres,107064.00000
4807049,Wainwright No. 61,2006,Cropland (Acres),Barley,Acres,69559.00000
4807049,Wainwright No. 61,2011,Cropland (Acres),Barley,Acres,52567.00000
4807049,Wainwright No. 61,2016,Cropland (Acres),Barley,Acres,48738.00000
4807049,Wainwright No. 61,2021,Cropland (Acres),Barley,Acres,57077.00000
4808001,Red Deer County,2006,Cropland (Acres),Barley,Acres,163593.00000
4808001,Red Deer County,2011,Cropland (Acres),Barley,Acres,163446.00000
4808001,Red Deer County,2016,Cropland (Acres),Barley,Acres,150080.00000
4808001,Red Deer County,2021,Cropland (Acres),Barley,Acres,144768.00000
4805012,Wheatland County,2006,Cropland (Acres),Barley,Acres,161634.00000
4805012,Wheatland County,2011,Cropland (Acres),Barley,Acres,146258.00000
4805012,Wheatland County,2016,Cropland (Acres),Barley,Acres,152705.00000
4805012,Wheatland County,2021,Cropland (Acres),Barley,Acres,164634.00000
4807019,Stettler County No. 6,2006,Cropland (Acres),Barley,Acres,76780.00000
4807019,Stettler County No. 6,2011,Cropland (Acres),Barley,Acres,77925.00000
4807019,Stettler County No. 6,2016,Cropland (Acres),Barley,Acres,80386.00000
4807019,Stettler County No. 6,2021,Cropland (Acres),Barley,Acres,97709.00000
4808022,Lacombe County,2006,Cropland (Acres),Barley,Acres,103488.00000
4808022,Lacombe County,2011,Cropland (Acres),Barley,Acres,111902.00000
4808022,Lacombe County,2016,Cropland (Acres),Barley,Acres,89475.00000
4808022,Lacombe County,2021,Cropland (Acres),Barley,Acres,108333.00000
4807031,Flagstaff County,2006,Cropland (Acres),Barley,Acres,95499.00000
4807031,Flagstaff County,2011,Cropland (Acres),Barley,Acres,81926.00000
4807031,Flagstaff County,2016,Cropland (Acres),Barley,Acres,84591.00000
4807031,Flagstaff County,2021,Cropland (Acres),Barley,Acres,99362.00000
4807011,Paintearth County No. 18,2006,Cropland (Acres),Barley,Acres,41964.00000
4807011,Paintearth County No. 18,2011,Cropland (Acres),Barley,Acres,43339.00000
4807011,Paintearth County No. 18,2016,Cropland (Acres),Barley,Acres,34695.00000
4807011,Paintearth County No. 18,2021,Cropland (Acres),Barley,Acres,35018.00000
4810001,Camrose County,2006,Cropland (Acres),Barley,Acres,83074.00000
4810001,Camrose County,2011,Cropland (Acres),Barley,Acres,82276.00000
4810001,Camrose County,2016,Cropland (Acres),Barley,Acres,103574.00000
4810001,Camrose County,2021,Cropland (Acres),Barley,Acres,106052.00000
4811061,Edmonton,2006,Cropland (Acres),Barley,Acres,5609.00000
4811061,Edmonton,2011,Cropland (Acres),Barley,Acres,662.00000
4811061,Edmonton,2016,Cropland (Acres),Barley,Acres,4060.00000
4811061,Edmonton,2021,Cropland (Acres),Barley,Acres,5263.00000
4803001,Cardston County,2006,Cropland (Acres),Barley,Acres,182329.00000
4803001,Cardston County,2011,Cropland (Acres),Barley,Acres,120774.00000
4803001,Cardston County,2016,Cropland (Acres),Barley,Acres,88655.00000
4803001,Cardston County,2021,Cropland (Acres),Barley,Acres,81590.00000
4802031,Newell County,2006,Cropland (Acres),Barley,Acres,48233.00000
4802031,Newell County,2011,Cropland (Acres),Barley,Acres,44869.00000
4802031,Newell County,2016,Cropland (Acres),Barley,Acres,44051.00000
4802031,Newell County,2021,Cropland (Acres),Barley,Acres,53510.00000
4808038,Ponoka County,2006,Cropland (Acres),Barley,Acres,77534.00000
4808038,Ponoka County,2011,Cropland (Acres),Barley,Acres,81853.00000
4808038,Ponoka County,2016,Cropland (Acres),Barley,Acres,73818.00000
4808038,Ponoka County,2021,Cropland (Acres),Barley,Acres,72345.00000
4812037,Lac la Biche County,2006,Cropland (Acres),Barley,Acres,6441.00000
4812037,Lac la Biche County,2011,Cropland (Acres),Barley,Acres,4978.00000
4812037,Lac la Biche County,2016,Cropland (Acres),Barley,Acres,6070.00000
4812037,Lac la Biche County,2021,Cropland (Acres),Barley,Acres,6449.00000
4809002,Clearwater County,2006,Cropland (Acres),Barley,Acres,21053.00000
4809002,Clearwater County,2011,Cropland (Acres),Barley,Acres,29209.00000
4809002,Clearwater County,2016,Cropland (Acres),Barley,Acres,21237.00000
4809002,Clearwater County,2021,Cropland (Acres),Barley,Acres,21773.00000
4810026,Minburn County No. 27,2006,Cropland (Acres),Barley,Acres,66246.00000
4810026,Minburn County No. 27,2011,Cropland (Acres),Barley,Acres,56768.00000
4810026,Minburn County No. 27,2016,Cropland (Acres),Barley,Acres,58898.00000
4810026,Minburn County No. 27,2021,Cropland (Acres),Barley,Acres,64262.00000
4813028,Westlock County,2006,Cropland (Acres),Barley,Acres,84397.00000
4813028,Westlock County,2011,Cropland (Acres),Barley,Acres,65044.00000
4813028,Westlock County,2016,Cropland (Acres),Barley,Acres,61880.00000
4813028,Westlock County,2021,Cropland (Acres),Barley,Acres,64903.00000
4813029,Woodlands County,2006,Cropland (Acres),Barley,Acres,5633.00000
4813029,Woodlands County,2011,Cropland (Acres),Barley,Acres,8498.00000
4813029,Woodlands County,2016,Cropland (Acres),Barley,Acres,5626.00000
4813029,Woodlands County,2021,Cropland (Acres),Barley,Acres,6342.00000
4813018,Barrhead County No. 11,2006,Cropland (Acres),Barley,Acres,62909.00000
4813018,Barrhead County No. 11,2011,Cropland (Acres),Barley,Acres,41461.00000
4813018,Barrhead County No. 11,2016,Cropland (Acres),Barley,Acres,49078.00000
4813018,Barrhead County No. 11,2021,Cropland (Acres),Barley,Acres,52484.00000
4810016,Beaver County,2006,Cropland (Acres),Barley,Acres,55336.00000
4810016,Beaver County,2011,Cropland (Acres),Barley,Acres,36791.00000
4810016,Beaver County,2016,Cropland (Acres),Barley,Acres,34454.00000
4810016,Beaver County,2021,Cropland (Acres),Barley,Acres,54196.00000
4801008,Forty Mile County No. 8,2006,Cropland (Acres),Barley,Acres,70003.00000
4801008,Forty Mile County No. 8,2011,Cropland (Acres),Barley,Acres,50371.00000
4801008,Forty Mile County No. 8,2016,Cropland (Acres),Barley,Acres,59905.00000
4801008,Forty Mile County No. 8,2021,Cropland (Acres),Barley,Acres,99029.00000
4801003,Cypress County,2006,Cropland (Acres),Barley,Acres,33480.00000
4801003,Cypress County,2011,Cropland (Acres),Barley,Acres,25115.00000
4801003,Cypress County,2016,Cropland (Acres),Barley,Acres,32413.00000
4801003,Cypress County,2021,Cropland (Acres),Barley,Acres,51661.00000
4803018,Willow Creek No. 26,2006,Cropland (Acres),Barley,Acres,153361.00000
4803018,Willow Creek No. 26,2011,Cropland (Acres),Barley,Acres,119280.00000
4803018,Willow Creek No. 26,2016,Cropland (Acres),Barley,Acres,106851.00000
4803018,Willow Creek No. 26,2021,Cropland (Acres),Barley,Acres,110053.00000
4802011,Lethbridge County,2006,Cropland (Acres),Barley,Acres,164227.00000
4802011,Lethbridge County,2011,Cropland (Acres),Barley,Acres,115228.00000
4802011,Lethbridge County,2016,Cropland (Acres),Barley,Acres,92621.00000
4802011,Lethbridge County,2021,Cropland (Acres),Barley,Acres,183658.00000
4802021,"Taber, M.D.",2006,Cropland (Acres),Barley,Acres,72604.00000
4802021,"Taber, M.D.",2011,Cropland (Acres),Barley,Acres,74885.00000
4802021,"Taber, M.D.",2016,Cropland (Acres),Barley,Acres,63682.00000
4802021,"Taber, M.D.",2021,Cropland (Acres),Barley,Acres,70319.00000
4803011,Pincher Creek No. 9,2006,Cropland (Acres),Barley,Acres,86886.00000
4803011,Pincher Creek No. 9,2011,Cropland (Acres),Barley,Acres,93180.00000
4803011,Pincher Creek No. 9,2016,Cropland (Acres),Barley,Acres,52865.00000
4803011,Pincher Creek No. 9,2021,Cropland (Acres),Barley,Acres,45946.00000
4804004,Special Area No. 2,2006,Cropland (Acres),Barley,Acres,35031.00000
4804004,Special Area No. 2,2011,Cropland (Acres),Barley,Acres,37815.00000
4804004,Special Area No. 2,2016,Cropland (Acres),Barley,Acres,26382.00000
4804004,Special Area No. 2,2021,Cropland (Acres),Barley,Acres,34146.00000
4804012,Special Area No. 3,2006,Cropland (Acres),Barley,Acres,64041.00000
4804012,Special Area No. 3,2011,Cropland (Acres),Barley,Acres,45941.00000
4804012,Special Area No. 3,2016,Cropland (Acres),Barley,Acres,28972.00000
4804012,Special Area No. 3,2021,Cropland (Acres),Barley,Acres,45562.00000
4804020,Special Area No. 4,2006,Cropland (Acres),Barley,Acres,20856.00000
4804020,Special Area No. 4,2011,Cropland (Acres),Barley,Acres,34874.00000
4804020,Special Area No. 4,2016,Cropland (Acres),Barley,Acres,26618.00000
4804020,Special Area No. 4,2021,Cropland (Acres),Barley,Acres,34479.00000
4805001,Vulcan County,2006,Cropland (Acres),Barley,Acres,192226.00000
4805001,Vulcan County,2011,Cropland (Acres),Barley,Acres,166836.00000
4805001,Vulcan County,2016,Cropland (Acres),Barley,Acres,188258.00000
4805001,Vulcan County,2021,Cropland (Acres),Barley,Acres,115525.00000
4806001,Foothills County,2006,Cropland (Acres),Barley,Acres,109661.00000
4806001,Foothills County,2011,Cropland (Acres),Barley,Acres,86922.00000
4806001,Foothills County,2016,Cropland (Acres),Barley,Acres,70715.00000
4806001,Foothills County,2021,Cropland (Acres),Barley,Acres,90149.00000
4806014,Rocky View County,2006,Cropland (Acres),Barley,Acres,149779.00000
4806014,Rocky View County,2011,Cropland (Acres),Barley,Acres,134726.00000
4806014,Rocky View County,2016,Cropland (Acres),Barley,Acres,129546.00000
4806014,Rocky View County,2021,Cropland (Acres),Barley,Acres,131923.00000
4806016,Calgary,2006,Cropland (Acres),Barley,Acres,13637.00000
4806016,Calgary,2011,Cropland (Acres),Barley,Acres,7600.00000
4806016,Calgary,2016,Cropland (Acres),Barley,Acres,16027.00000
4806016,Calgary,2021,Cropland (Acres),Barley,Acres,8508.00000
4806028,Mountain View County,2006,Cropland (Acres),Barley,Acres,158826.00000
4806028,Mountain View County,2011,Cropland (Acres),Barley,Acres,160852.00000
4806028,Mountain View County,2016,Cropland (Acres),Barley,Acres,118334.00000
4806028,Mountain View County,2021,Cropland (Acres),Barley,Acres,122991.00000
4807001,Provost No. 52,2006,Cropland (Acres),Barley,Acres,58987.00000
4807001,Provost No. 52,2011,Cropland (Acres),Barley,Acres,48908.00000
4807001,Provost No. 52,2016,Cropland (Acres),Barley,Acres,49145.00000
4807001,Provost No. 52,2021,Cropland (Acres),Barley,Acres,59995.00000
