CSDUID,CSD,Period,IndicatorSummaryDescription,UnitOfMeasure,OriginalValue
4805031,Starland County,2001,Pigs (number of)
4805031,Starland County,2006,Pigs (number of),,31367.00000
4805031,Starland County,2011,Pigs (number of),,29348.00000
4805031,Starland County,2016,Pigs (number of),,58575.00000
4805031,Starland County,2021,Pigs (number of),,35116.00000
4805041,Kneehill County,2021,Pigs (number of),,67842.00000
4805041,Kneehill County,2001,Pigs (number of)
4805041,Kneehill County,2006,Pigs (number of),,96720.00000
4805041,Kneehill County,2011,Pigs (number of),,46591.00000
4805041,Kneehill County,2016,Pigs (number of),,44613.00000
4802001,Warner County No. 5,2001,Pigs (number of)
4802001,Warner County No. 5,2006,Pigs (number of),,80683.00000
4802001,Warner County No. 5,2011,Pigs (number of),,88368.00000
4802001,Warner County No. 5,2016,Pigs (number of),,104428.00000
4802001,Warner County No. 5,2021,Pigs (number of),,83733.00000
4807049,Wainwright No. 61,2021,Pigs (number of),,106875.00000
4807049,Wainwright No. 61,2001,Pigs (number of)
4807049,Wainwright No. 61,2006,Pigs (number of),,67000.00000
4807049,Wainwright No. 61,2011,Pigs (number of),,55785.00000
4807049,Wainwright No. 61,2016,Pigs (number of),,92479.00000
4808001,Red Deer County,2001,Pigs (number of)
4808001,Red Deer County,2006,Pigs (number of),,75439.00000
4808001,Red Deer County,2011,Pigs (number of),,87015.00000
4808001,Red Deer County,2016,Pigs (number of),,52460.00000
4808001,Red Deer County,2021,Pigs (number of),,61647.00000
4805012,Wheatland County,2021,Pigs (number of),,208307.00000
4805012,Wheatland County,2001,Pigs (number of)
4805012,Wheatland County,2006,Pigs (number of),,155947.00000
4805012,Wheatland County,2011,Pigs (number of),,26765.00000
4805012,Wheatland County,2016,Pigs (number of),,94798.00000
4807019,Stettler County No. 6,2001,Pigs (number of)
4807019,Stettler County No. 6,2006,Pigs (number of),,59299.00000
4807019,Stettler County No. 6,2011,Pigs (number of),,50158.00000
4807019,Stettler County No. 6,2016,Pigs (number of),,37061.00000
4807019,Stettler County No. 6,2021,Pigs (number of),,64822.00000
4808022,Lacombe County,2021,Pigs (number of),,122294.00000
4808022,Lacombe County,2001,Pigs (number of)
4808022,Lacombe County,2006,Pigs (number of),,203665.00000
4808022,Lacombe County,2011,Pigs (number of),,93684.00000
4808022,Lacombe County,2016,Pigs (number of),,83494.00000
4807031,Flagstaff County,2001,Pigs (number of)
4807031,Flagstaff County,2006,Pigs (number of)
4807031,Flagstaff County,2011,Pigs (number of)
4807031,Flagstaff County,2016,Pigs (number of)
4807031,Flagstaff County,2021,Pigs (number of),,14643.00000
4807011,Paintearth County No. 18,2016,Pigs (number of),,21202.00000
4807011,Paintearth County No. 18,2001,Pigs (number of)
4807011,Paintearth County No. 18,2006,Pigs (number of),,31364.00000
4807011,Paintearth County No. 18,2011,Pigs (number of),,25837.00000
4807011,Paintearth County No. 18,2021,Pigs (number of)
4810001,Camrose County,2001,Pigs (number of)
4810001,Camrose County,2006,Pigs (number of),,26696.00000
4810001,Camrose County,2011,Pigs (number of),,15387.00000
4810001,Camrose County,2016,Pigs (number of),,15456.00000
4810001,Camrose County,2021,Pigs (number of),,23533.00000
4811061,Edmonton,2011,Pigs (number of),,0.00000
4811061,Edmonton,2001,Pigs (number of)
4811061,Edmonton,2006,Pigs (number of)
4811061,Edmonton,2016,Pigs (number of)
4811061,Edmonton,2021,Pigs (number of)
4803001,Cardston County,2001,Pigs (number of)
4803001,Cardston County,2006,Pigs (number of),,46336.00000
4803001,Cardston County,2011,Pigs (number of),,63489.00000
4803001,Cardston County,2016,Pigs (number of),,51318.00000
4803001,Cardston County,2021,Pigs (number of),,52610.00000
4802031,Newell County,2021,Pigs (number of),,39648.00000
4802031,Newell County,2001,Pigs (number of)
4802031,Newell County,2006,Pigs (number of),,37841.00000
4802031,Newell County,2011,Pigs (number of),,23656.00000
4802031,Newell County,2016,Pigs (number of),,37470.00000
4808038,Ponoka County,2001,Pigs (number of)
4808038,Ponoka County,2006,Pigs (number of),,69480.00000
4808038,Ponoka County,2011,Pigs (number of),,57583.00000
4808038,Ponoka County,2021,Pigs (number of)
4808038,Ponoka County,2016,Pigs (number of),,38085.00000
4812037,Lac la Biche County,2016,Pigs (number of),,40.00000
4812037,Lac la Biche County,2001,Pigs (number of)
4812037,Lac la Biche County,2006,Pigs (number of),,182.00000
4812037,Lac la Biche County,2011,Pigs (number of),,29.00000
4812037,Lac la Biche County,2021,Pigs (number of)
4809002,Clearwater County,2001,Pigs (number of)
4809002,Clearwater County,2006,Pigs (number of),,20896.00000
