CSDUID,CSD,Period,IndicatorSummaryDescription,Vehicle Type,UnitOfMeasure,OriginalValue
4807044,Sedgewick,2005,Vehicle Registrations,Cars,,376
4807044,Sedgewick,2006,Vehicle Registrations,Cars,,372
4807044,Sedgewick,2007,Vehicle Registrations,Cars,,386
4807044,Sedgewick,2008,Vehicle Registrations,Cars,,396
4807044,Sedgewick,2009,Vehicle Registrations,Cars,,341
4807044,Sedgewick,2010,Vehicle Registrations,Cars,,341
4807044,Sedgewick,2011,Vehicle Registrations,Cars,,331
4807044,Sedgewick,2012,Vehicle Registrations,Cars,,325
4807044,Sedgewick,2013,Vehicle Registrations,Cars,,311
4807044,Sedgewick,2014,Vehicle Registrations,Cars,,288
4807044,Sedgewick,2015,Vehicle Registrations,Cars,,283
4807044,Sedgewick,2016,Vehicle Registrations,Cars,,268
4807044,Sedgewick,2017,Vehicle Registrations,Cars,,268
4807044,Sedgewick,2018,Vehicle Registrations,Cars,,248
4807044,Sedgewick,2019,Vehicle Registrations,Cars,,228
4807044,Sedgewick,2020,Vehicle Registrations,Cars,,231
4807044,Sedgewick,2021,Vehicle Registrations,Cars,,220
4807046,Lougheed,2005,Vehicle Registrations,Cars,,149
4807046,Lougheed,2006,Vehicle Registrations,Cars,,157
4807046,Lougheed,2007,Vehicle Registrations,Cars,,155
4807046,Lougheed,2008,Vehicle Registrations,Cars,,155
4807046,Lougheed,2009,Vehicle Registrations,Cars,,130
4807046,Lougheed,2010,Vehicle Registrations,Cars,,130
4807046,Lougheed,2011,Vehicle Registrations,Cars,,125
4807046,Lougheed,2012,Vehicle Registrations,Cars,,113
4807046,Lougheed,2013,Vehicle Registrations,Cars,,117
4807046,Lougheed,2014,Vehicle Registrations,Cars,,116
4807046,Lougheed,2015,Vehicle Registrations,Cars,,95
4807046,Lougheed,2016,Vehicle Registrations,Cars,,107
4807046,Lougheed,2017,Vehicle Registrations,Cars,,104
4807046,Lougheed,2018,Vehicle Registrations,Cars,,99
4807046,Lougheed,2019,Vehicle Registrations,Cars,,89
4807046,Lougheed,2020,Vehicle Registrations,Cars,,87
4807046,Lougheed,2021,Vehicle Registrations,Cars,,78
4808011,Red Deer,2005,Vehicle Registrations,Cars,,29451
4808011,Red Deer,2006,Vehicle Registrations,Cars,,30201
4808011,Red Deer,2007,Vehicle Registrations,Cars,,31178
4808011,Red Deer,2008,Vehicle Registrations,Cars,,31524
4808011,Red Deer,2009,Vehicle Registrations,Cars,,30511
4808011,Red Deer,2010,Vehicle Registrations,Cars,,30511
4808011,Red Deer,2011,Vehicle Registrations,Cars,,30572
4808011,Red Deer,2012,Vehicle Registrations,Cars,,30432
4808011,Red Deer,2013,Vehicle Registrations,Cars,,30087
4808011,Red Deer,2014,Vehicle Registrations,Cars,,29901
4808011,Red Deer,2015,Vehicle Registrations,Cars,,28700
4808011,Red Deer,2016,Vehicle Registrations,Cars,,26656
4808011,Red Deer,2017,Vehicle Registrations,Cars,,25387
4808011,Red Deer,2018,Vehicle Registrations,Cars,,24995
4808011,Red Deer,2019,Vehicle Registrations,Cars,,23816
4808011,Red Deer,2020,Vehicle Registrations,Cars,,23202
4808011,Red Deer,2021,Vehicle Registrations,Cars,,22436
4805018,Strathmore,2005,Vehicle Registrations,Cars,,4396
4805018,Strathmore,2006,Vehicle Registrations,Cars,,4703
4805018,Strathmore,2007,Vehicle Registrations,Cars,,5057
4805018,Strathmore,2008,Vehicle Registrations,Cars,,5053
4805018,Strathmore,2009,Vehicle Registrations,Cars,,4866
4805018,Strathmore,2010,Vehicle Registrations,Cars,,4866
4805018,Strathmore,2011,Vehicle Registrations,Cars,,4909
4805018,Strathmore,2012,Vehicle Registrations,Cars,,4996
4805018,Strathmore,2013,Vehicle Registrations,Cars,,4936
4805018,Strathmore,2014,Vehicle Registrations,Cars,,4952
4805018,Strathmore,2015,Vehicle Registrations,Cars,,4867
4805018,Strathmore,2016,Vehicle Registrations,Cars,,4717
4805018,Strathmore,2017,Vehicle Registrations,Cars,,4507
4805018,Strathmore,2018,Vehicle Registrations,Cars,,4426
4805018,Strathmore,2019,Vehicle Registrations,Cars,,4320
4805018,Strathmore,2020,Vehicle Registrations,Cars,,4173
